AÑO,CVU,NOBILIS,NOMBRE DEL INVESTIGADOR,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA,SUBDISCIPLINA,ESPECIALIDAD,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ENTIDAD FEDERATIVA,PAÍS
2006,4663,DR.,"BAILON CORRES, MOISES JAIME",1,2006-01-01,2009-12-31,V.- CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA POLITICA,"CONFLICTOS MUNICIPALES, PODER REGIONAL Y DERECHOS INDIGENAS",COMISION NACIONAL DE DERECHOS HUMANOS,No Disponible,CIUDAD DE MÉXICO,MÉXICO
2006,11190,DR.,"BAIZABAL AGUIRRE, VICTOR MANUEL",1,2005-01-01,2008-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOQUIMICA,TRANSDUCCION DE SEÑALES EN PLANTAS,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,MICHOACÁN DE OCAMPO,MÉXICO
2006,122590,DR.,"BAJO, ROSARIO ALONSO",1,2006-01-01,2008-12-31,V.- CIENCIAS SOCIALES,ECONOMIA,DESARROLLO ECONOMICO,"ECONOM-A DE LA EDUCACION, LA CIENCIA Y LA TECNOLOG-A",UNIVERSIDAD AUTONOMA DE SINALOA,INSTITUTO DE INVESTIGACIONES ECONOMICAS Y SOCIALES,SINALOA,MÉXICO
2006,120911,DR.,"BALANDRAN QUINTANA, RENE RENATO",1,2005-01-01,2007-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,TECNOLOGIA DE ALIMENTOS,DAÑO POR FRIO EN FRUTAS Y HORTALIZAS,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,FACULTAD DE CIENCIAS QUIMICAS,CHIHUAHUA,MÉXICO
2006,15234,DR.,"BALANKIN, ALEXANDER",3,2002-07-01,2006-06-30,VII.- INGENIERÍAS ,INGENIERIA DE MATERIALES,INGENIERIA DE MATERIALES,MECANICA DE LA FRACTURA,INSTITUTO POLITÉCNICO NACIONAL,ESCUELA SUPERIOR DE INGENIERIA MECANICA Y ELECTRICA,CIUDAD DE MÉXICO,MÉXICO
2006,20858,DR.,"BALANZARIO GUTIERREZ, EUGENIO PACELLI",1,2006-01-01,2009-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,MATEMATICAS,TEORIA DE LOS NUMEROS,TEORIA ANALITICA DE LOS NUMEROS,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE MATEMATICAS,MICHOACÁN DE OCAMPO,MÉXICO
2006,122774,DRA.,"BALBUENA CISNEROS, ARMINDA",C,2006-01-01,2008-12-31,V.- CIENCIAS SOCIALES,DERECHO Y JURISPRUDENCIA,DERECHO CONSTITUCIONAL,JUSTICIA CONSTITUCIONAL Y GLOBALIZACION.,UNIVERSIDAD DE GUANAJUATO,FACULTAD DE DERECHO,GUANAJUATO,MÉXICO
2006,3315,DR.,"BALCAZAR GARCIA, MIGUEL",2,2004-01-01,2008-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,FISICA NUCLEAR,RADIACION AMBIENTAL Y FISICA DE RADIACIONES,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,No Disponible,MÉXICO,MÉXICO
2006,13308,DR.,"BALCAZAR LARA, MANUEL ARTEMIO",1,2004-01-01,2007-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,TAXONOMIA,SISTEMATICA Y TAXONOMIA LEPIDOPTERA,UNIVERSIDAD DE COLIMA,FACULTAD DE CIENCIAS BIOLOGICAS Y AGROPECUARIAS,COLIMA,MÉXICO
2006,120896,DRA.,"BALDERAS HERNANDEZ, PATRICIA",C,2006-01-01,2008-12-31,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,QUIMICA ANALITICA,QUIMICA DE SOLUCIONES,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,FACULTAD DE QUIMICA,MÉXICO,MÉXICO
2006,14453,DR.,"BALDERAS LOPEZ, JOSE ABRAHAM",2,2006-01-01,2009-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,FISICA TERMICA O TERMOFISICA,TECNICAS FOTOTERMICAS,INSTITUTO POLITÉCNICO NACIONAL,UNIDAD PROFESIONAL INTERDISCIPLINARIAS DE BIOTECNOLOGIA,CIUDAD DE MÉXICO,MÉXICO
2006,15159,DR.,"BALDERAS NAVARRO, RAUL EDUARDO",1,2005-01-01,2008-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,FISICA DEL ESTADO SOLIDO,PROPIEDADES OPTICAS DE SEMICONDUCTORES,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,FACULTAD DE CIENCIAS,SAN LUIS POTOSÍ,MÉXICO
2006,120827,DR.,"BALDERAS RENTERIA, ISAIAS",C,2006-01-01,2008-12-31,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,CIENCIAS Y SERVICIOS DE LA SALUD,HEPATOLOGIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS QUIMICAS,NUEVO LEÓN,MÉXICO
2006,121049,DR.,"BALDOVINO PANTALEON, OSCAR",C,2005-01-01,2007-12-31,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,QUIMICA ORGANICA,QUIMICA ORGANOMETALICA Y DE COORDINACION,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE QUIMICA,CIUDAD DE MÉXICO,MÉXICO
2006,5827,DR.,"BALLESTEROS GARCIA, VICTOR MANUEL",2,2005-01-01,2009-12-31,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,"HISTORIAS NACIONALES, REGIONALES",HISTORIA COLONIAL E HISTORIA DE LA EDUCACION,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,INSTITUTO DE CIENCIAS SOCIALES Y HUMANIDADES,HIDALGO,MÉXICO
2006,25757,DR.,"BALLESTEROS PAREDES, JAVIER",1,2006-01-01,2009-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ASTRONOMIA,ASTROFISICA,"NUBES MOLECULARES, TURBULENCIA, FORMACION ESTELAR",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CENTRO DE RADIOASTRONOMIA Y ASTROFISICA,MICHOACÁN DE OCAMPO,MÉXICO
2006,120754,QUIM.,"BALLINAS CASARRUBIAS, MARIA DE LOURDES",1,2005-01-01,2007-12-31,VII.- INGENIERÍAS ,INGENIERIA DE MATERIALES,INGENIERIA AMBIENTAL,SEPARACIONES MEDIANTE MEMBRANAS POLIMERICAS,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,FACULTAD DE CIENCIAS QUIMICAS,CHIHUAHUA,MÉXICO
2006,123582,DR.,"BALMASEDA ERA, JORGE",1,2006-01-01,2008-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,CIENCIA DE MATERIALES,INTERFASES Y SUPERFICIES,EQUILIBRIO Y TRANSPORTE DE FLUIDOS EN SOLIDOS POROSOS,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE INVESTIGACIONES EN MATERIALES,CIUDAD DE MÉXICO,MÉXICO
2006,9211,DR.,"BALMORI RAMIREZ, HEBERTO ANTONIO M.",2,2005-01-01,2009-12-31,VII.- INGENIERÍAS ,INGENIERIA DE MATERIALES,CERAMICOS,PROCESAMIENTO DE CERAMICOS,INSTITUTO POLITÉCNICO NACIONAL,ESCUELA SUPERIOR DE ING. QUIMICA E INDUSTRIAS EXTRACTIVAS,CIUDAD DE MÉXICO,MÉXICO
2006,20863,DR.,"BALTAR RODRIGUEZ, ENRIQUE",1,2005-01-01,2007-12-31,V.- CIENCIAS SOCIALES,CIENCIA POLITICA,RELACIONES INTERNACIONALES,ESTUDIOS AFROASIATICOS,UNIVERSIDAD DE QUINTANA ROO,DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES,QUINTANA ROO,MÉXICO
2006,30501,DRA.,"BALTAZAR FLORES, MARIA DEL ROSARIO",C,2004-01-01,2006-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,OPTICA,SISTEMAS HETERODINOS DE MEDICION,TECNOLÓGICO NACIONAL DE MÉXICO,INSTITUTO TECNOLÓGICO DE LEON,GUANAJUATO,MÉXICO
2006,121976,DR.,"BALTAZAR HERREJON, ARTURO",1,2005-01-01,2007-12-31,VII.- INGENIERÍAS ,INGENIERIA MECANICA,MECANICA DE MATERIALES,EVALUACION NO DESTRUCTIVA DE MATERIALES Y PROCESOS,TECNOLÓGICO NACIONAL DE MÉXICO,INSTITUTO TECNOLÓGICO DE HERMOSILLO,SONORA,MÉXICO
2006,123421,DRA.,"BALTAZAR RODRIGUEZ, LUZ MARGARITA",1,2006-01-01,2008-12-31,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,CIENCIAS Y SERVICIOS DE LA SALUD,GENETICA HUMANA,UNIVERSIDAD DE COLIMA,FACULTAD DE MEDICINA,COLIMA,MÉXICO
2006,15485,DRA.,"BALVANERA LEVY, PATRICIA",1,2006-01-01,2009-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,ECOLOGIA,BIODIVERSIDAD Y FUNCIONAMIENTO DEL ECOSISTEMA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE ECOLOGIA,MICHOACÁN DE OCAMPO,MÉXICO
