NOMBRE DEL INVESTIGADOR
"ALBA BETANCOURT,CLARA"
"ALBA CADENA,FRANCISCO ALFONSO"
"ALBA FIERRO,CARLOS ANTONIO"
"ALBA GARIBAY,MARCO ANTONIO"
"ALBA HERNANDEZ,FRANCISCO"
"ALBA HURTADO,FERNANDO"
"ALBARRAN GOMEZ,JOSE LUIS"
"ALBARRAN SANCHEZ,MARIA GUADALUPE"
"ALBOR AGUILERA,MARIA DE LOURDES"
"ALBORNOZ,MARIA MERCEDES"
"ALCALA ALCALA,SERGIO"
"ALCALA ALVAREZ,MA. DEL CARMEN"
"ALCALA CANTO,YAZMIN"
"ALCALA CORONA,SERGIO ANTONIO"
"ALCALA GONZALEZ,ANTONIO"
"ALCALA MOYA,MARIA GRACIELA"
"ALCALA PEREA,GERARDO"
"ALCALA SANCHEZ,IMELDA GUADALUPE"
"ALCANTAR TORRES,ADRIAN"
"ALCANTARA COBOS,ADRIAN"
"ALCANTARA CONCEPCION,VICTOR"
"ALCANTARA FELIX,JOSE ANTONIO"
"ALCANTARA FLORES,ELA"
"ALCANTARA HERNANDEZ,ROCIO"
"ALCANTARA HERNANDEZ,RUTH JOSEFINA"
"ALCANTARA MEJIA,JOSE RAMON"
"ALCANTARA ZAVALA,EVA"
"ALCANTARA,MIGUEL ANGEL"
"ALCARAZ GONZALEZ,VICTOR"
"ALCARAZ LOPEZ,MIRIAM FABIOLA"
"ALCARAZ LOPEZ,OMAR ANTONIO"
"ALCARAZ MELENDEZ,LILIA"
"ALCARAZ ROMERO,VICTOR MANUEL"
"ALCARAZ VARGAS,JORGE LUIS"
"ALCARAZ VERA,JORGE VICTOR"
"ALCARAZ ZUBELDIA,MIREYA"
"ALCAZAR BRAVO,JORGE ALBERTO"
"ALCAZAR LOPEZ,AMANDO"
"ALCAZAR PIZANA,ANDREA GUADALUPE"
"ALCAZAR VARA,LUIS ALBERTO"
"ALCOCER GAMBA,MARCO ANTONIO"
"ALCOCER GONZALEZ,JUAN MANUEL"
"ALCUDIA AGUILAR,ALEJANDRO"
"ALDAMA RODRIGUEZ,ALVARO ALBERTO"
"ALDANA FRANCO,FERNANDO"
"ALDANA GONZALEZ,GABRIELA"
"ALDANA GONZALEZ,MAXIMINO"
"ALDANA LOPEZ,CARLOS IVAN"
"ALDECO PEREZ,ROCIO ALEJANDRA"
"ALDECO RAMIREZ,JAVIER"
"ALDRETE RODRIGUEZ,MARIA GUADALUPE"
"ALDRETE TAPIA,JESUS ALEJANDRO"
"ALEJANDRE RAMIREZ,J. REYES"
"ALEJANDRE RAMIREZ,JOSE REYES"
"ALEJO JAIME,ANTONIO"
"ALEJO PLATA,MARIA DEL CARMEN"
"ALEMAN ARCE,MIGUEL ANGEL"
"ALEMAN AYALA,KARINA"
"ALEMAN ESCOBAR,MARIA DE LOURDES"
"ALEMAN HUERTA,MARIA ELIZABETH"
"ALEMAN MARTINEZ,ROSA MARIA"
"ALEMAN VAZQUEZ,LAURA OLIVIA"
"ALEXANDER AGUILERA,ALFONSO"
"ALEXANDROVA,LARISSA"
"ALFARO AGUILAR,FELIPE"
"ALFARO ALTAMIRANO,ADRIANA"
"ALFARO AYALA,JORGE ARTURO"
"ALFARO CUEVAS,MARTHA EUGENIA"
"ALFARO GOMEZ,MARIANA"
"ALFARO HERNANDEZ,SALVADOR"
"ALFARO MORENO,ERNESTO"
"ALFARO PEREZ,JOSE FERNANDO"
"ALFARO PONCE,MARIEL"
"ALFARO ROMERO,ALEJANDRO"
"ALFONSO GARCIA,ALETHIA"
"ALFONZO MENDEZ,MARCO ANTONIO"
"ALGABA MARTINEZ,LETICIA"
"ALLENDE HERNANDEZ,OLIVIA"
"ALMADA BAY,IGNACIO"
"ALMADA ORTIZ,MARIO EDUARDO"
"ALMAGUER MARTINEZ,FRANCISCO JAVIER"
"ALMANZA PEREZ,JULIO CESAR"
"ALMANZA TOVAR,OSCAR GUADALUPE"
"ALMARAZ GIRON,MARCO ANTONIO"
"ALMARAZ SUAREZ,JUAN JOSE"
"ALMAZAN CUELLAR,SAUL"
"ALMAZAN NUNEZ,ROBERTO CARLOS"
"ALONSO AREVALO,MIGUEL ANGEL"
"ALONSO CORTES,DANIEL"
"ALONSO DIAZ,MIGUEL ANGEL"
"ALONSO GOMEZ,NALLELY"
"ALONSO GONZALEZ,MIGUEL ANGEL"
"ALONSO GUZMAN,ELIA MERCEDES"
"ALONSO HERRERO,JOSE ANTONIO"
"ALONSO LOPEZ,ALEJANDRO"
"ALONSO MARTINEZ,FERNANDO"
"ALONSO MORALES,ROGELIO ALEJANDRO"
"ALONSO NUEZ,GABRIEL"
"ALONSO NUNEZ,GABRIEL"
"ALONSO NUNEZ,MARIA CARMEN"
"ALONSO OLVERA,ALEJANDRA"
"ALONSO ORTIZ,JORGE"
"ALONSO RODRIGUEZ,ROSALBA"
"ALONSO SANCHEZ,JORGE"
"ALONSO VARGAS,GUSTAVO"
"ALONZO GARCIA,ALEJANDRO"
"ALONZO GONZALEZ,ROSA MARIA"
"ALOR HERNANDEZ,GINER"
"ALPUCHE CRUZ,MARIA GUADALUPE"
"ALTAMIRANO BARRERA,JULIO"
"ALTAMIRANO CASTRO,JOSE GUADALUPE"
"ALTAMIRANO GUERRERO,GERARDO"
"ALTAMIRANO HERNANDEZ,JOSUE"
"ALTAMIRANO MEZA,GERARDO ROMAN"
"ALTAMIRANO ROBLES,LEOPOLDO"
"ALVA PEREZ,JORGE"
"ALVA SANCHEZ,CLAUDIA"
"ALVA SANCHEZ,HECTOR"
"ALVARADO ALANIS,PATRICIA"
"ALVARADO ANELL,EDGAR"
"ALVARADO CARRILLO,ARACELI"
"ALVARADO CASTILLO,GERARDO"
"ALVARADO CASTRO,VICTOR MANUEL"
"ALVARADO CHACON,FRANCISCO JAVIER"
"ALVARADO FLORES,JESUS"
"ALVARADO GARCIA,ALEJANDRO"
"ALVARADO GIL,JUAN JOSE"
"ALVARADO GOMEZ,ELIZABETH"
"ALVARADO GOMEZ,OMAR GUADALUPE"
"ALVARADO GONZALEZ,SANDRA MONICA"
"ALVARADO HERNANDEZ,FRANCISCO"
"ALVARADO IBARRA,JUANA"
"ALVARADO INIESTA,ALEJANDRO"
"ALVARADO JUAREZ,ANA MARGARITA"
"ALVARADO LASSMAN,ALEJANDRO"
"ALVARADO MARTINEZ ESCOBAR,MARIA"
"ALVARADO MARTINEZ,ELIZABETH"
"ALVARADO MARTINEZ,ISRAEL"
"ALVARADO MENDOZA,ARTURO"
"ALVARADO MORENO,JOSE ANTONIO"
"ALVARADO ORTEGA,JESUS"
"ALVARADO RAMIREZ,SALVADOR"
"ALVARADO REYNA,SOFIA"
"ALVARADO RIVERA,ALBERTO"
"ALVARADO RODRIGUEZ,MARIA EUGENIA"
"ALVARADO ROSAS,CONCEPCION"
"ALVARADO RUIZ,JORGE ALBERTO"
"ALVARADO RUIZ,RAMON"
"ALVARADO SANCHEZ,BRENDA"
"ALVARADO SANCHEZ,MARTINA"
"ALVARADO SANCHEZ,NAYELLI"
