NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,NOMBRE_INVESTIGADOR_NORM,NOMBRE_PATENTE_NORM,ES_MISMA_PERSONA,SCORE,DETALLES
"GARCIA MARQUEZ,ERISTEO","GARCIA MARQUEZ,ERISTEO",100.0,"GARCIA MARQUEZ,ERISTEO","GARCIA MARQUEZ,ERISTEO",False,40.0,Sin coincidencias
"GARCIA MARTINEZ,MOISES","GARCIA MARTINEZ,MOISES",100.0,"GARCIA MARTINEZ,MOISES","GARCIA MARTINEZ,MOISES",False,40.0,Sin coincidencias
"GARCIA SANCHEZ,GUSTAVO ADOLFO","GARCIA SANCHEZ,GUSTAVO A",8.9,"GARCIA SANCHEZ,GUSTAVO ADOLFO","GARCIA SANCHEZ,GUSTAVO A",False,38.400000000000006,Similitud Nombre (96%)
"GARCIA QUIROZ,ALBERTO","GARCIA,ALBERTO",8.1,"GARCIA QUIROZ,ALBERTO","GARCIA,ALBERTO",False,60.0,Institución
"GARCIA QUIROZ,ALBERTO","GARCIA,ALBERTO F",7.5,"GARCIA QUIROZ,ALBERTO","GARCIA,ALBERTO F",False,37.2,Similitud Nombre (93%)
"GARCIA BORES,ANA MARIA","GARCIA,ANAMARIA",8.0,"GARCIA BORES,ANA MARIA","GARCIA,ANAMARIA",True,80.0,"Institución, Fecha"
"GARCIA LUNA,ARMANDO","GARCIA,ARMANDO",8.5,"GARCIA LUNA,ARMANDO","GARCIA,ARMANDO",True,80.0,"Institución, Fecha"
"GARCIA GOMEZ,ARTURO","GARCIA,ARTURO",8.3,"GARCIA GOMEZ,ARTURO","GARCIA,ARTURO",False,60.0,Institución
"GAY GARCIA,CARLOS","GARCIA,CARLOS",87.5,"GAY GARCIA,CARLOS","GARCIA,CARLOS",False,60.0,Institución
"GARCIA GARCIA,CESAR","GARCIA,CESAR",8.1,"GARCIA GARCIA,CESAR","GARCIA,CESAR",True,80.0,"Institución, Fecha"
"GARCIA GARCIA,CESAR","GARCIA,CESAR G",7.3,"GARCIA GARCIA,CESAR","GARCIA,CESAR G",False,40.0,Similitud Nombre (100%)
"GARCIA PAEZ,FERNANDO","GARCIA,FERNANDO",8.5,"GARCIA PAEZ,FERNANDO","GARCIA,FERNANDO",False,60.0,Institución
