patent_number,patent_title,patent_date,inventor_city,inventor_country,inventor_first_name,inventor_first_seen_date,inventor_id,inventor_last_name,inventor_last_seen_date,inventor_lastknown_city,inventor_lastknown_country,inventor_sequence,inventor_state,inventor_state_fips,inventor_total_num_patents
D756233,Twist top pet bottle for softener,2016-05-17,Monterrey,MX,Francisco,2016-05-17,fl:fr_ln:romerosalido-1,Romero Salido,2017-09-19,El Control,MX,0,,,3
D756499,Air freshener container,2016-05-17,Heroica Caborca,MX,José Daniel,2016-05-17,fl:jo_ln:vargascervantes-2,Vargas Cervantes,2016-05-17,Heroica Caborca,MX,0,,,1
D756499,Air freshener container,2016-05-17,Heroica Caborca,MX,Eduardo,2016-05-17,fl:ed_ln:diazlopez-2,Diaz Lopez,2017-02-28,Guanajuato,MX,2,,,2
D756499,Air freshener container,2016-05-17,Heroica Caborca,MX,Mabel Guadalupe,2016-05-17,fl:ma_ln:diazlopez-2,Díaz López,2016-05-17,Heroica Caborca,MX,1,,,1
D756793,Container,2016-05-24,Querétaro,MX,Luis Rodolfo,2013-07-02,fl:lu_ln:arevalopliego-2,Arevalo Pliego,2020-03-17,Juriquilla,MX,3,,,6
D756793,Container,2016-05-24,Devizes,GB,Corinne Elizabeth,2016-05-24,fl:co_ln:ashbee-1,Ashbee,2020-03-17,Hungerford,GB,5,,,11
D756793,Container,2016-05-24,Devizes,GB,John David,1996-03-26,fl:jo_ln:lamb-12,Lamb,2020-03-17,Pewsey,GB,4,,,98
D756793,Container,2016-05-24,Texcoco de Mora,MX,Jorge,2016-05-24,fl:jo_ln:becerra-1,Becerra,2020-03-17,Llano Grande,MX,2,,,7
D756793,Container,2016-05-24,Elmont,US,Kiat-Cheong,1998-02-24,fl:ki_ln:toh-3,Toh,2022-02-22,Elmont,US,1,NY,36,120
D756793,Container,2016-05-24,Texcoco de Mora,MX,Claudia Daniela,2013-07-02,fl:cl_ln:maciasmejia-1,Macias Mejia,2023-05-02,New York,US,0,,,14
D758517,Slide,2016-06-07,Acatlán de Juárez,MX,Alejandro Mestas,2016-06-07,fl:al_ln:gonzalez-29,Gonzalez,2016-06-07,Acatlán de Juárez,MX,0,,,1
D758870,Container,2016-06-14,Mexico City,MX,Claudia Daniela,2013-07-02,fl:cl_ln:maciasmejia-1,Macias Mejia,2023-05-02,New York,US,0,,,14
D758870,Container,2016-06-14,Elmont,US,Kiat-Cheong,1998-02-24,fl:ki_ln:toh-3,Toh,2022-02-22,Elmont,US,1,NY,36,120
D758870,Container,2016-06-14,Devizes,GB,Corinne Elizabeth,2016-05-24,fl:co_ln:ashbee-1,Ashbee,2020-03-17,Hungerford,GB,5,,,11
D758870,Container,2016-06-14,Devizes,GB,John David,1996-03-26,fl:jo_ln:lamb-12,Lamb,2020-03-17,Pewsey,GB,4,,,98
D758870,Container,2016-06-14,Texcoco de Mora,MX,Jorge,2016-05-24,fl:jo_ln:becerra-1,Becerra,2020-03-17,Llano Grande,MX,2,,,7
D758870,Container,2016-06-14,Querétaro,MX,Luis Rodolfo,2013-07-02,fl:lu_ln:arevalopliego-2,Arevalo Pliego,2020-03-17,Juriquilla,MX,3,,,6
D759025,Ergonomic keypad,2016-06-14,Guanajuato,MX,Francisco,2014-07-29,fl:fr_ln:deleon-1,de Leon,2022-05-10,Fort Lauderdale,US,0,,,20
D759169,Vertical integral climber,2016-06-14,Mexico City,MX,Fernando,2016-06-14,s94f7mrenlej0pfjhrdpx2rjb,Humberto Mercenari Uribe,2016-06-14,Mexico City,MX,0,,,1
D759956,Umbrella support frame,2016-06-28,Bucerias,MX,Michael Shawn,2015-11-17,fl:mi_ln:mcquaid-1,McQuaid,2016-06-28,Bucerias,MX,0,,,2
D760350,Tank design,2016-06-28,Lagos de Moreno,MX,Pedro,2012-12-18,fl:pe_ln:wirzluchsinger-1,Wirz Luchsinger,2023-12-19,Lagos de Moreno,MX,0,,,9
D763073,Measuring cap with flower design thereon,2016-08-09,Monterrey,MX,Francisco,2016-05-17,fl:fr_ln:romerosalido-1,Romero Salido,2017-09-19,El Control,MX,0,,,3
D763265,Display screen with icon for displaying a lubrication management system,2016-08-09,León,MX,Gerardo,2016-08-09,fl:ge_ln:trujillo-2,Trujillo,2016-08-09,León,MX,0,,,1
D763535,Trolley wheel,2016-08-09,Snellville,US,Bradley,1997-09-02,fl:br_ln:workman-3,Workman,2022-01-25,Snellville,US,0,GA,13,18
D763535,Trolley wheel,2016-08-09,Granada,MX,Arie,2013-08-13,fl:ar_ln:jusidman-1,Jusidman,2023-08-15,Mexico City,MX,3,,,9
D763535,Trolley wheel,2016-08-09,Westlake,US,Mark,2013-08-13,fl:ma_ln:dorenkott-1,Dorenkott,2023-08-15,Westlake,US,2,OH,39,9
D763535,Trolley wheel,2016-08-09,Gainesville,US,David,1992-12-22,fl:da_ln:jackson-44,Jackson,2019-10-01,Gainesville,US,1,GA,13,8
D763709,Measurement tool,2016-08-16,Villa de Cos,MX,Ricardo,2016-08-16,cs6oxzvgfsg2xfkfm0v70b5rd,Camacho de la Concha,2016-08-16,Villa de Cos,MX,0,,,1
D764311,Bag,2016-08-23,Tijuana,MX,Alfredo,2015-03-10,fl:al_ln:ortiz-5,Ortiz,2016-08-30,Tijuana,MX,2,,,3
D764311,Bag,2016-08-23,San Diego,US,Felipe,1979-12-18,fl:fe_ln:garcia-14,Garcia,2016-08-30,San Diego,US,0,CA,06,5
D764311,Bag,2016-08-23,Tijuana,MX,Victor,2016-08-23,fl:vi_ln:nicolas-1,Nicolas,2016-08-30,Tijuana,MX,1,,,2
D764354,Plegable screen for truck,2016-08-23,Mexico City,MX,Cristian,2016-08-23,3n79szsjqx63p23l1z3hvafye,Riquer-Gonzalez-Cosio,2016-08-23,Mexico City,MX,0,,,1
D764940,Bag,2016-08-30,Tijuana,MX,Alfredo,2015-03-10,fl:al_ln:ortiz-5,Ortiz,2016-08-30,Tijuana,MX,2,,,3
D764940,Bag,2016-08-30,Tijuana,MX,Victor,2016-08-23,fl:vi_ln:nicolas-1,Nicolas,2016-08-30,Tijuana,MX,1,,,2
D764940,Bag,2016-08-30,San Diego,US,Felipe,1979-12-18,fl:fe_ln:garcia-14,Garcia,2016-08-30,San Diego,US,0,CA,06,5
D765542,Faux turf tree skirt,2016-09-06,Hermosillo,MX,German,2016-09-06,os2211okvniokcibtzdnn4ohd,Aello Garcia,2016-09-06,Hermosillo,MX,0,,,1
