NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"GARCIA HERNANDEZ,NADIA VANESSA","ARCOS HERNANDEZ,MONICA VANESSA",82.67622461170849
"SALAZAR MEDINA,ALEX JESUS","ARCOS MEDINA,WALDO JESUS",72.71062271062272
"BLANCO RIVERA,JOEL ANTONIO","ARELLANO CABRERA,JOSE ANTONIO",76.86781609195401
"ARELLANO MORALES,MARIO ALEJANDRO","ARELLANO ESCARPITA,DAVID ALEJANDRO",72.35294117647058
"ARELLANO JIMENEZ,IVONNE","ARELLANO MENDOZA,IVONNE",90.625
"CABRERA LLANOS,AGUSTIN IGNACIO","ARELLANO,AGUSTIN GARCIA",77.74294670846396
"ARREOLA MENDOZA,LAURA","ARELLANO,LARA",74.8792270531401
"ARELLANO MORALES,MARIO ALEJANDRO","ARGUELLO GLEASON,DANIEL ALEJANDRO",69.95967741935485
"VARGAS CEBALLOS,MANUEL ALEJANDRO","ARGUELLO,DANIEL ALEJANDRO",74.18478260869566
"TAPIA CAMPOS,ERNESTO","ARIAS DEL CAMPO,ERNESTO",83.33333333333334
"GARCIA MARTINEZ,JESUS","ARIAS DUARTE,JESUS",83.33333333333334
"MANDUJANO ESTRADA,MIGUEL","ARIAS ESTRADA,MIGUEL",83.33333333333334
"GARCIA AGUILAR,MARIA DE LA CONCEPCION","ARIOSA ACUNA,MARIA CONCEPCION",72.8744939271255
"CHARLES RODRIGUEZ,ANA VERONICA","ARIZPE RODRIGUEZ,MARCELA VERONICA",78.67965367965368
"ARMENDARIZ BORUNDA,JUAN SOCORRO","ARMENDARIZ BORUNDA,JUAN SOCORRO",100.0
"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",100.0
"AGUILAR ARMENDARIZ,RAMON ALBERTO","ARMENDARIZ,RAMON ALBERTO AGUILAR",73.94957983193277
"MARTINEZ LOPEZ,VICTOR MANUEL","ARMENTA LOPEZ,VICTOR RAUL",75.0
"ROMERO NAPOLES,JESUS","ARMENTA ROBLES,JESUS",82.14285714285714
"GARCIA GUERRERO,VICTOR MANUEL","AROCHA FERRINO,VICTOR MANUEL",81.0344827586207
"CRUCES ALCANTAR,LUIS FRANCISCO","ARRECHEA ALCANTAR,LUIS FRANCISCO",87.5
"ARREDONDO HERNANDEZ,LUIS JOSE RENE","ARREDONDO HERNANDEZ,LUIS JOSE",89.13043478260869
"ARELLANO MORALES,MARIO ALEJANDRO","ARRELLANO ESCARPITA,DAVID ALEJANDRO",71.42857142857143
"BARRAGAN CAMPOS,ROBERTO CARLOS","ARRIAGA SOSA,ROBERTO CARLOS",83.33333333333334
"RICO MARTINEZ,ROBERTO","ARRIOLA MARTINEZ,ROBERTO",91.37931034482759
"ARCOS GARCIA,JOSE LUIS","ARROYAVE GARCIA,JOSE LUIS",87.03703703703704
"ARROYO CORDOBA,ISMAEL JAVIER","ARROYO CORDOVA,ISMAEL JAVIER",96.42857142857143
"RUBIO GONZALEZ,CARLOS","ARROYO GONZALEZ,CARLOS",87.93103448275862
"ARROYO NUNEZ,JOSE HUMBERTO","ARROYO LOPEZ,HUMBERTO",75.5952380952381
"FLORES ORTEGA,MIGUEL","ARROYO ORTEGA,MIGUEL",80.76923076923077
"MARTINEZ AGUILAR,KEREN","ARTEAGA,EFREN",70.43478260869566
"JARILLO SILVA,ALEJANDRO","ARZATE SILVA,ALEJANDRO",82.0
"OLMEDA GARCIA,MARINA DEL PILAR","ARZOLA GARCIA,MARIA DEL PILAR",86.84863523573202
"ASCANIO GASCA,GABRIEL","ASCANIO GASCA,GABRIEL",100.0
"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",100.0
"ANTIVILO PENA,JULIA ALEJANDRA","ASTUDILLO LOPEZ LENA,LILIANA ALEJANDRA",70.92803030303031
"RAMOS BANDERAS,JOSE ANGEL","AVALOS BARCENAS,JOSE ANGEL",81.0344827586207
"AVALOS GARCIA,JAVIER","AVALOS GARCIA,JAVIER",100.0
"MEDRANO GUZMAN,RAFAEL","AVALOS GUZMAN,RAFAEL",83.33333333333334
"PACHECO VEGA,JUAN MANUEL","AVALOS VEGA,JUAN MANUEL",80.43478260869566
"AVILA ALVAREZ,FRANCISCO","AVILA ALARCON,FRANCISCO",88.46153846153845
"PENALBA GARMENDIA,MARIA CRISTINA","AVILA GARCIA,MA CRISTINA",75.0344827586207
"ROSAS HERNANDEZ,MARTHA PATRICIA","AVILA HERNANDEZ,MARTHA VALERIA",74.59770114942529
"SALAS MARINA,MIGUEL ANGEL","AVILA MACIAS,MIGUEL ANGEL",83.33333333333334
"VIELMA SIFUENTES,JESUS","AVILA MONTES,JESUS",82.14285714285714
"BRACAMONTES RAMIREZ,PERLA ELIZABETH","AVILA RAMIREZ,FELICITAZ ELIZABETH",69.48529411764706
"AVILA VILCHIS,JUAN CARLOS","AVILA VILCHIS,JUAN CARLOS",100.0
"AVILA ORTIZ,RAUL","AVILA,RAUL",81.25
"AVILES CRUZ,CARLOS","AVILES,CARLOS",85.29411764705881
"MIRANDA DIAZ,GERMAN ALEJANDRO","AYALA DIAZ,CESAR ALEJANDRO",70.52785923753666
"PENA AYALA,ALEJANDRO","AYALA,ALEJANDRO",83.33333333333334
"AZORIN VEGA,ERIKA PATRICIA","AZORIN VEGA,ERIKA PATRICIA",100.0
"ORTIZ SANCHEZ,JUAN PEDRO","BACA SANCHEZ,JUAN PEDRO",82.0
"BAEZA RAMIREZ,MARIA ISABEL","BAEZA RAMIREZ,MARIA ISABEL",100.0
"SALAS ARAIZA,MANUEL DARIO","BALDERAS AYALA,MANUEL GERARDO",69.23076923076923
"BANUELOS SANCHEZ,PEDRO","BANUELOS SANCHEZ,PEDRO",100.0
"QUIROGA GONZALEZ,ENRIQUE","BAQUERIE GONZALEZ,ENRIQUE",86.36363636363637
"HEREDIA GONZALEZ,EMMANUEL","BARAJAS GONZALEZ,EMMANUEL",84.375
"GONZALEZ HERNANDEZ,MANUEL FRANCISCO","BARAJAS HERNANDEZ,MANLIO FRANCISCO",75.17857142857143
"VARGAS ROSALES,CESAR","BARAJAS OLALDE,CESAR",82.14285714285714
"BARAJAS RAMIREZ,JUAN GONZALO","BARAJAS RAMIREZ,JUAN GONZALO",100.0
"BARCENAS CASTANEDA,MARIANA","BARCENAS CASTANEDA,MARIANA",100.0
"BARONA GOMEZ,FRANCISCO","BARONA GOMEZ,FRANCISCO",100.0
"BARRAGAN RODRIGUEZ,EFRAIN","BARRAGAN,EFRAIN",80.76923076923077
"ORTIZ HERNANDEZ,GUSTAVO","BARRANCO HERNANDEZ,GUSTAVO",83.33333333333334
"IBARRA SERRANO,FRANCISCO JAVIER","BARRANON,FRANCISCO JAVIER ROJO",75.06142506142506
"IBARRA PEREZ,FRANCISCO JAVIER","BARRAZA,FRANCISCO JAVIER ESQUERRA",70.60333761232349
"MADRID FLORES,FRANCISCO","BARREIRO FLORES,FRANCISCO",85.71428571428572
"BARREIRO RODRIGUEZ,GUADALUPE","BARREIRO RODRIGUEZ,GUADALUPE",100.0
"BARRERA RODRIGUEZ,ARTURO","BARRERA ECHAURI,ARTURO",81.25
"LEAL MORALES,CARLOS ALBERTO","BARRERA MORALES,CARLOS ALBERTO",87.03703703703704
"JUAREZ TORRES,ALEJANDRO","BARRERA TORRES,ALEJANDRO",87.03703703703704
"BARRON BALDERAS,ALEJANDRO","BARRERA,ALEJANDRO",81.81818181818181
"BETANCOURT RIERA,RENE","BARRERA,RENE",80.43478260869566
"BARRIENTOS RODRIGUEZ,ERNESTO","BARRIENTOS,ERNESTO D",77.08333333333334
"LOPEZ BARRIENTOS,JOSE DANIEL","BARRIENTOS,JOSUE DANIEL PEREZ",76.39257294429709
"BARRIOS DIAZ,JUAN MANUEL","BARRIGA,JUAN MANUEL AVILA",70.86466165413533
"BARRIOS LOPEZ,HECTOR GUILLERMO","BARRIOS ALBERT,JORGE GUILLERMO",75.74671445639189
"BARRIOS PEREZ,JOSE ANTONIO","BARRIOS PEREZ,JOSE ANTONIO",100.0
"RINCON LEON,HECTOR ARMANDO","BARRON LEON,HECTOR ALAN",76.36363636363637
"BARROSO VILLA,JUAN GERARDO","BARROSO VILLA,JUAN GERARDO",100.0
"CARONE,ERICA","BARTON,ERIC",77.77777777777777
"BARZANA GARCIA,EDUARDO","BARZANA,EDUARDO",83.33333333333334
"CANELA MORALES,LUIS ALBERTO","BASURTO MORALES,LUIS ALBERTO",81.0344827586207
"DIEGO BAUTISTA,OSCAR","BAUTISTA CID,OSCAR",80.76923076923077
"BAUTISTA HERNANDEZ,MIGUEL ANGEL","BAUTISTA RAMIREZ,MIGUEL ANGEL",88.23529411764706
"DIAZ BAUTISTA,ERIK","BAUTISTA,ERICK",82.53968253968253
"BAYDYK,TETYANA","BAYDYK,TETYANA",100.0
