NOMBRE DEL INVESTIGADOR,NOMBRE_INVENTOR,Ratio
"LOPEZ CERVANTES,JAIME","LOPEZ CERVANTES,JAIME",100.0
"GUTIERREZ MEDINA,BRAULIO","GUTIERREZ MEDINA,BRAULIO",100.0
"SANCHEZ MIRANDA,MANUEL DE JESUS","SANCHEZ MIRANDA,MANUEL DE JESUS",100.0
"CARTAS ROSADO,ANA ROCIO","CARTAS ROSADO,ANA ROCIO",100.0
"SOBERON CHAVEZ,MARIO","SOBERON CHAVEZ,MARIO",100.0
"BRAVO DE LA PARRA,MARIA ALEJANDRA","BRAVO DE LA PARRA,MARIA ALEJANDRA",100.0
"PARDO LOPEZ,LILIANA","PARDO LOPEZ,LILIANA",100.0
"GARCIA MARQUEZ,ERISTEO","GARCIA MARQUEZ,ERISTEO",100.0
"ESPINOSA ANDREWS,HUGO","ESPINOSA ANDREWS,HUGO",100.0
"GONZALEZ JIMENEZ,LUIS ENRIQUE","GONZALEZ JIMENEZ,LUIS ENRIQUE",100.0
"RUIZ CRUZ,RIEMANN","RUIZ CRUZ,RIEMANN",100.0
"RAMOS MURILLO,MANUEL ANTONIO","RAMOS MURILLO,MANUEL ANTONIO",100.0
"ENRIQUEZ CARREJO,JOSE LUIS","ENRIQUEZ CARREJO,JOSE LUIS",100.0
"AMBROSIO LAZARO,ROBERTO CARLOS","AMBROSIO LAZARO,ROBERTO CARLOS",100.0
"RODRIGUEZ GONZALEZ,CLAUDIA ALEJANDRA","RODRIGUEZ GONZALEZ,CLAUDIA ALEJANDRA",100.0
"MIRELES JR GARCIA,JOSE","MIRELES JR. GARCIA,JOSE",97.77777777777777
"DOMINGUEZ MALDONADO,JORGE ARTURO","DOMINGUEZ MALDONADO,JORGE ARTURO",100.0
"FLOTA BANUELOS,MANUEL ISRAEL","FLOTA BANUELOS,MANUEL ISRAEL",100.0
"ALZATE GAVIRIA,LILIANA MARIA","ALZATE GAVIRIA,LILIANA MARIA",100.0
"CONTRERAS MASSE,ROBERTO ANTONIO","CONTRERAS MASSE,ROBERTO ANTONIO",100.0
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDRO RICARDO",100.0
"VAZQUEZ OVIEDO,ERICK ISRAEL","VAZQUEZ OVIEDO,ERICK ISRAEL",100.0
"VAZQUEZ NAVA,NIMROD","VAZQUEZ NAVA,NIMROD",100.0
"ZAVALA OLIVARES,GERARDO","ZAVALA OLIVARES,GERARDO",100.0
"TORRES MANCERA,LEON PABLO","TORRES MANCERA,LEON PABLO",100.0
"ORTEGA BORGES,RAUL MARTIN","ORTEGA BORGES,RAUL MARTIN",100.0
"MEAS VONG,YUNNY","MEAS VONG,YUNNY",100.0
"TREJO CORDOVA,GABRIEL","TREJO CORDOVA,GABRIEL",100.0
"MARINO MARMOLEJO,ERIKA NAHOMY","MARINO MARMOLEJO,ERIKA NAHOMY",100.0
"DAVILA VAZQUEZ,GUSTAVO","DAVILA VAZQUEZ,GUSTAVO",100.0
"CONTRERAS RAMOS,SILVIA MARIBEL","CONTRERAS RAMOS,SILVIA MARIBEL",100.0
"RAMIREZ ALVAREZ,FRANCISCO JAVIER","RAMIREZ AGUILAR,FRANCISCO JAVIER",90.625
"AVILA VILCHIS,JUAN CARLOS","AVILA VILCHIS,JUAN CARLOS",100.0
"VILCHIS GONZALEZ,ADRIANA HERLINDA","VILCHIS GONZALEZ,ADRIANA HERLINDA",100.0
"CASTRO ROSAS,JAVIER","CASTRO ROSAS,JAVIER",100.0
"GOMEZ ALDAPA,CARLOS ALBERTO","GOMEZ ALDAPA,CARLOS ALBERTO",100.0
"GOJON ZORRILLA,GABRIEL","GOJON ZORRILLA,GABRIEL",100.0
"HERRERA ESTRELLA,LUIS RAFAEL","HERRERA ESTRELLA,LUIS RAFAEL",100.0
"AMEZCUA ALLIERI,MYRIAM ADELA","AMEZCUA ALLIERI,MYRIAM ADELA",100.0
"RAMIREZ VERDUZCO,LUIS FELIPE","RAMIREZ VERDUZCO,LUIS FELIPE",100.0
"PEREZ GALLARDO,ALFONSO","PEREZ GALLARDO,ALFONSO",100.0
"LEAL CHAVEZ,DANIEL ARTURO","LEAL CHAVEZ,DANIEL ARTURO",100.0
"BELTRAN CHACON,RICARDO","BELTRAN CHACON,RICARDO",100.0
"CORONA GALVAN,SERGIO","CORONA GALVAN,SERGIO",100.0
"RODRIGUEZ GUADARRAMA,LUIS ANTONIO","RODRIGUEZ GUADARRAMA,LUIS ANTONIO",100.0
"ESCUDERO URIBE,APOLO ZEUS","ESCUDERO URIBE,APOLO ZEUS",100.0
"SANTOS CUEVAS,CLARA LETICIA","SANTOS CUEVAS,CLARA LETICIA",100.0
"OCAMPO GARCIA,BLANCA ELI","OCAMPO GARCIA,BLANCA ELI",100.0
"AZORIN VEGA,ERIKA PATRICIA","AZORIN VEGA,ERIKA PATRICIA",100.0
"LUNA GUTIERREZ,MYRNA ALEJANDRA","LUNA GUTIERREZ,MYRNA ALEJANDRA",100.0
"JIMENEZ MANCILLA,NALLELY PATRICIA","JIMENEZ MANCILLA,NALLELY PATRICIA",100.0
"FERRO FLORES,GUILLERMINA","FERRO FLORES,GUILLERMINA",100.0
"DE LA ROSA SANTAMARIA,ROBERTO","DE LA ROSA SANTAMARIA,ROBERTO",100.0
"MENDOZA,CARLOS","MENDOZA,CARLOS",100.0
"RODRIGUEZ LOPEZ,CARLOS EDUARDO","RODRIGUEZ LOPEZ,CARLOS EDUARDO",100.0
"DIAZ DE LA GARZA,ROCIO ISABEL","DIAZ DE LA GARZA,ROCIO ISABEL",100.0
"AVALOS GARCIA,JAVIER","AVALOS GARCIA,JAVIER",100.0
"PENA DUQUE,MARCO ANTONIO","PENA DUQUE,MARCO ANTONIO",100.0
"VILLAGOMEZ IBARRA,JOSE ROBERTO","VILLAGOMEZ IBARRA,JOSE ROBERTO",100.0
"SEGOVIA QUINTERO,MANUEL ALBERTO","SEGOVIA QUINTERO,MANUEL ALBERTO",100.0
"MORENO LOPEZ,ALEJANDRO","MORENO GOMEZ,ALEJANDRO",90.9090909090909
"ESCOBAR HERNANDEZ,DANIEL","ESCOBAR HERNANDEZ,DANIEL",100.0
"CARBAJAL ARIZAGA,GREGORIO GUADALUPE","CARBAJAL ARIZAGA,GREGORIO GUADALUPE",100.0
"DE LANGE,DIRK FREDERIK","DE LANGE,DIRK FREDERIK",100.0
"YANEZ SOTO,BERNARDO","YANEZ SOTO,BERNARDO",100.0
"PEREZ TORRES,ARMANDO","PEREZ TORRES,ARMANDO",100.0
"SCIUTTO CONDE,EDDA LYDIA","SCIUTTO CONDE,EDDA LYDIA",100.0
"FRAGOSO GONZALEZ,GLADIS DEL CARMEN","FRAGOSO GONZALEZ,GLADIS DEL CARMEN",100.0
"CERVANTES TORRES,JACQUELYNNE BRENDA","CERVANTES TORRES,JACQUELYNNE BRENDA",100.0
"SEGURA VELAZQUEZ,RENE ALVARO","SEGURA VELAZQUEZ,RENE ALVARO",100.0
"KONTOROVICH MAZOVER,VALERI","KONTOROVICH MAZOVER,VALERI",100.0
"PENA CAMPOS,FERNANDO","PENA CAMPOS,FERNANDO",100.0
"GONZALEZ MONTIEL,ALFONSO","GONZALEZ MONTIEL,ALFONSO",100.0
"FLORES SANTOS,LETICIA","FLORES SANTOS,LETICIA",100.0
