NOMBRE_INVENTOR
"Ruiz,Facundo"
"Vazquez Duran,Alma Guadalupe"
"Montesinos Gomez,Rosa del Carmen"
"Pliego Vences,Lizbeth"
"Romero Hernandez,Nancy"
"Martinez Laurent,Juan Carlos"
"Alcantar Garcia,Joel"
"Avila Magana,Luis Ricardo"
"Noriega Gonzalez,Luis Manuel"
"Canales Monte,Francisco Alejandro"
"Filonczuk,Timothy John"
"GLENN,JUDD W"
"Salais,Rogelio"
"Alonge, Jr,Nicholas Joseph"
"Hambruch,Joel T"
"Wright,William D"
"Hammer,Mark R"
"Allan,Lisa A"
"Joshi,Shrikant Mukund"
"Millard,Jurgen Christian Hagedorn"
"Daniel,Daniel Bracamontes"
"Rodriquez,Irving Morales"
"Cano,Gil Rene Sosa"
"Inoue,Masahisa"
"Murata,Yousuke"
"Martinez,Jorge Guadarrama"
"Gonzalez Montes,Alberto"
"Radomski,Linda"
"Salinas Hinojos,Ruben"
"Swierkocki,Thomas W"
"Ramos,Cristina"
"Navar Guerra,Ana Karina"
"Blazick,Sean M"
"Lopez Reyes,Elizabeth"
"Pawlowski, Jr,Stanley J"
"Eckert,Donna"
"Cardona Erives,Alejandra Gabriela"
"Fernandez Manriquez,Adrian Enrique"
"Burciaga Holguin,Juan Ramon"
"Lopez Santiago,Alejandra"
"Gangopadhyay,Palash"
"Norwood,Robert A"
"Zhang,Qian"
"Yu,Yijun"
"Beltran Corona,Jose Maria"
"Tamanaja,Ivan Torres"
"Rutiaga,Roman Cazares"
"Grant,Thomas A"
"Carter,Tamara S"
"Hohmann,Luke"
"O'Leary,Daniel J"
"Zavala de la Vega,Santiago"
"Salazar,Cesar"
"Takayama,Wako"
"Halley,Lane B"
"Leyva Inzunza,Zenaida Carolina"
"Montero Montes de Oca,Salvador"
"Sanchez Lopez,Jose Arturo"
"Garcia Cortez,Carlos Adrian"
"Pansari,Ambar"
"Blasbalg,Paul"
"Yamaguchi,Lyoji Jesus"
"Perez,Roberto"
"Nicanor Palmer,Ricardo"
"Rosas Salazar,Cristina"
"Rodriguez Pedraza,Dante Abraham"
"Melchor Saucedo,Gustavo Eric"
"Khankal,Yogesh"
"Napier,Jeffery A"
"Erickson,Dean Matthew"
"Nunez,Eduardo"
"Lowe,Michael F"
"Castillo Castillo,Pedro Alejandro"
"Alvarez Badillo,Sergio"
"Aguirre Gutierrez,Adriana de Jesus"
"Montoya Mejia,Carlos Francisco"
"De Los Monteros,Carlos Canales Espinosa"
"Fajardo Eslava,Bernardo"
"Marin Quintero,Manuel de Jesus"
"Martini Merlo,Juan Miguel"
"Ugartechea Berlanga,Alejandro"
"Linares Limon,Emilio"
"Favila,Ricardo Juarez"
"Healy,Justin Lee"
"Hill,Anna Miller"
"Zenteno Sanchez,Claudio Cesar"
"Gutierrez,Sergio Herrera"
"Johnson,Jiju George"
"Aalbers,Huibert F J"
"Moreno,Marco"
"Gonzalez,Gabriel"
"Tech,Karl R"
"Alvarez Alonso,Diego Alejandro"
"Carrillo,Antonio Moya"
"Flores Sanchez,Miguel Angel de Jesus"
"Parra Saldivar,Roberto"
"Duran Soriano,Pamela del Carmen"
"Cortes Guerra,Andres Marcelo"
"Salmon Folgueras,Jose Rodrigo"
"Sizemore,Jorg"
"Lopez,Raul Garcia Salgado"
"Paz Garcia,Juan"
"Paz Michel,Brenda Astrid"
"Branker,Philip"
"Wasielewski,Kevin"
"Castro,Arturo"
"Kilinski,Scott"
"Perez,Victor D"
"Seth,Anuj"
"Labrecque,Julienne"
"Villareal,Dan M"
"Raman,Vivek Cheruvari Kottieth"
"Chen Liang,Jane"
"Sanchez Gonzalez,Izcoati Emmanuel"
"Camacho,Oscar Alexjandro"
"Ponce Velez,Marco Antonio"
"Torres Nava,Claudio"
"SALAS ZAMARRIPA,Ezequiel"
"Arcos,Waldo"
"Dunham,Scott Holmes"
"Saavedra,Jose Guillermo"
"Gramling,Frank E"
"Brandon,Lee"
"Judd,David"
"DEAMICIS,Gene"
"Savagaonkar,Uday R"
"Nagarajan,Ramadass"
"Kulick,Stanley S"
"Utz,Martin"
"Ramirez,Gildardo"
"Mammen,Thomas"
"Sohda,Yasunari"
"Takahashi,Noritsugu"
"Ohashi,Takeyoshi"
"Komuro,Osamu"
"Kawano,Hajime"
"Castillo Maldonado,Jesus Guadalupe"
"Fabian,Edgar Salazar"
"Blancas Cabrera,Abel"
"Hernandez Gonzales,Rutilia Marisela"
"Brisson,Julien"
"Salvatierra,Ricardo"
"Haradean,Mark"
"Soriano,Salvador"
"Carrillo Soto,Adrian"
"Jasso,Jorge L Mireles"
"Madinabeitia,Rafael Antonio Fematt"
"Zemiti,Nabil"
"Soto Pineda,Alberto"
"Valdez Hernandez,Jose Leoncio"
"Gonzalez,Mairon"
"Olivares,Marco Antonio"
"Becerra Castrejon,Jose Antonio"
"Duran Hernandez,Juan Francisco"
"Reyes,Luis Alberto"
"Gutierrez,Lidia Argelia"
"Melecio Ramirez,Juan Ignacio"
"Rubio Barraza,Gabriela Isabel"
"Arcos Medina,Waldo Jesus"
"Guzman Sanchez,Arnoldo"
"Rodriguez de Anda,Eduardo"
"Raab,Karen"
"Basam,Rathnam Venkatesh"
"Lugo Aviles,Luis Alonso"
"Otten, JR,Gerald T"
"Veliz,Mark D"
"Cornelius,Gregory S"
"Chairez Briones,David Alejandro"
"Ramirez Lopez,Ricardo Jesus"
"Ramirez Garnica,Marco Antonio"
"Castrejon Vacio,Fernando"
"Cabrera Reyes,Maria del Carmen"
"Nares Ochoa,Ruben"
"Duran,Adan Tapia"
"Rosas Roman,Diego Fernando"
"GONZALEZ MARTINEZ,LUIS MIGUEL"
"MATA CARRALES,MANUEL"
"LUDLOW PALAFOX,EDUARDO"
"LANDA CALDERON,JAIME HELADIO"
"Blanco,Juan Cazares"
"Hernandez,Eduardo Muriel"
"Trejo,Antonio Castro"
"Tarter,Jennifer Ann"
"Fischer,David B"
"Ross,Andrew Jon"
"Battah,Juan Antonio Said"
"Bissu,Moises Bucay"
"Calderon,Juan Jose"
"Rojo Gallegos,Diana L"
"Rodriguez,David"
"Schacht,Thomas C"
"Laycock,Bronwyn Glenice"
"Pratt,Steven"
"Werker,Alan Gideon"
"Arcos Hernandez,Monica Vanessa"
"Magnusson,Per"
"Johansson,Peter Stig Tomas"
"Serrano Saldana,Enrique"
"Chavez Miyauchi,Tomas Eduardo"
"Gouveia,Christian Mendez"
"Bravo Garcia,Erica"
"Briet,Veronique"
"Ceja Estrada,Juan Jose Hugo"
"Cardoso Tapias Ceccantini,Gregorio"
"Angeles Alvarez,Pedro Guillermo"
"Garcia Morales,Jose Alberto"
"Castaneda Miranda,Jose Arturo"
"Calleja,Juan Moises"
"Sharif,Irfan"
"Maus,Geoffrey B"
"Gasperini,Kevin"
"Smith,Jeremy"
"Almanza,Felipe"
"Haque,Asim I"
"Edappanoli,Noufal"
"Hardstone,Paul E"
"Padmanabhan,Bharani Shangar"
"Harvey,AnnCharlot H"
"Scott,April A"
"Gottfried Blackmore,Tomas Enrique"
"Fernandez de Castro,Daniel Vogel"
"Colbert,Terry R"
"Ruelas,Eduardo Arturo Aguilar"
"Fleming,Fraser Fergusson"
"Lujan Montelongo,Jesus Armando"
"De La Torre Montemayor,Jose"
"Zhang,Songshan"
"Li,Yuzhang"
"Fang,Fengbin"
"Bujanos,Joaquin Beas"
"Martinez Romero,Humberto"
"Martinez Romero,Rodrigo"
"Gutierrez Muniz,Alvaro"
"Rincon Acha,Heleodro"
"Lara Gonzalez,Jose Luis"
"Benitez Lopez,Raymundo"
"Ramirez Soto,Luis Enrique"
"Teran Orozco,Raul"
"Gerenabarrena Meabebastxea,Unai"
"Ceron Varela,Arturo Omar"
"Cervantes,Humberto Orozco"
"de Lourdes Rodriguez Fragoso,Maria"
"Ordonez Palacios,Jose Mario"
"Reyes Esparza,Jorge Alberto"
"Rossato,Alejandro Martin"
"Bishop,Ryan"
"Van Buren,Martin Richard"
"Matoy,Russell"
"Hebner,JoAnn Whitney"
"Nava Campillo,Juan Carlos"
"Foley,Patrick E"
"Furlong,Brian D"
"Espinosa,Gumaro Carrizales"
"Aguilar,Leoncio Trejo"
"Guarneros Jones,Johnathan"
"Hancock,Cheryl"
"Richer,Carlos"
"Youschak,Melanie"
"Kramer,Michael"
"Thorpe,Darrell T"
"Okamoto,Yasuhisa"
"Kousaka,Masahisa"
"Fernandez Garcia,Carlos Javier"
"Bianciardi,Giancarlo"
"Cantu Gonzalez,Roberto Federico"
"Fernandez Feito,Juan Carlos"
"Miller,Margaret J"
"Carder,Gary"
"Deutsch,Ronald G"
"French,Justin"
"Chung,Yongsoo"
"Chatel,Robert"
"Ramage,Holly"
"Lay Ma,Ursula Vanesa"
"Ramirez,Luis Carlos Gabino Barrera"
"Alvite,Joseph"
"Friedline,Dwight Vaughn"
"Olan,Concepcion Isidro"
"Geiger,David"
"Mohammed,Anwar"
"Hernandez,Hector Rene Marin"
"Willie,Dennis"
"Camacho Salas,Ismael"
"Campos de Leon,Gerardo M"
"Vazquez,Eduardo"
"Arrellano Escarpita,David Alejandro"
"Sada,Jaime Guillermo"
"Alanis,Mauricio Martinez"
"Gonzalez,Daniel Ramirez"
"Martinez Pelayo,Iosef E"
"Aubineau,Vincent"
"Salas Armendariz,Alethya Deydree"
"Alcantara Gonzalez,Raymundo"
"Garcia,Edith Nancy Trevino"
"Acero,Cesar Eduardo Avendano"
"Zaleta,Dimas Alberto Diaz"
"Montero,Jose Roberto"
"Gutierrez,Jose Miguel"
"Santamaria,Jose Alfonso Gonzalez"
"Ribeiro,Antonio Jose Fernandes"
"Guadarrama,Rodrigo"
"Jafa,Emad"
"Aguilar Vega,Manuel de Jesus"
"Ramos Flores,Jose Fidel"
"Castruita De Leon,Griselda"
"Villarreal Cardenas,Luis Alberto"
"Pacheco Sotelo,Joel Osvaldo"
"Neira Velazquez,Maria Guadalupe"
"Duran Garcia,Miguel Angel"
"Hidalgo Perez,Miguel Angel"
"Valdivia Barrientos,Ricardo"
"Santiago Garcia,Jose Luis"
"Loria Bastarrachea,Maria Isabel de los Dolores"
"Gutierrez Mejia,Alejandra Aimee"
"Garcia Cerda,Luis Alfonso"
"Perera Mercado,Yibran Argenis"
"Pacheco Pacheco,Marquidia Josseline"
"Romero De La Mora,Mario Antonio"
"Henshall,Duncan"
"Kochem,Karl Heinz"
"Lozano,Roberto Raul"
"Grijalva Varillas,Sergio Fernando"
"Aguilar Mendoza,Guillermo"
"Camacho Lopez,Santiago"
"Garay,Javier E"
"Mijarez Castro,Rito"
"Pacheco Arteaga,Maria Jojutla Olimpia"
"Guevara Gordillo,Ricardo"
"Pascacio Maldonado,David"
"Rodriguez Rodriguez,Joaquin Hector"
"Garcia Gonzalez,Victor Guadalupe"
"Delgado Coello,Blanca Alicia"
"Tamura,Kouhei"
"Miranda,Freddy"
"Munoz Hernandez,Jonathan Javier"
"Hassell,Jon P"
"Cordero Basave,Jaime"
"Aguilar,Sofia Cayon"
"Galicia Badillo,Juan Manuel"
"Saavedra Roman,Jose Guillermo"
"Cruz Ramirez,Raciel"
"Jauregui Ortiz,Ramon"
"Martinez Colin,Jose de Jesus"
"Martinez Rivera,Haydee Guadalupe"
"Menchaca Gonzalez,Daniel Amaury"
"Dominguez Victorio,Luis Alfonso"
"Quintanar Melendez,Ana Laura"
"Figueroa,Benjamin Duenas"
"Anaya Perez,Javier"
"Lymberopoulos,Dimitrios"
"Alanis Reyes,Eden Alejandro"
"Gilad Bachrach,Ran"
"DeJean,Gerald"
"Thai,Trang"
"Hernandez Zaragoza,Carlos"
"Jimenez,Abraham Israel"
"Marchek,Kyle"
"Castillo,Leonel O"
"Borkgren,Stanley R"
"Rodriguez,Elliot Moises Espinosa"
"Popovski,Mike"
"Martinez,Antonio Mata"
"Torres,Ervin Eluid"
"Rebolledo Salazar,Luis"
"Talavera Gonzalez,Nestor"
"Cavazos Ramos,Oscar Rene"
"Barrios Munoz,Arturo Angel"
"Simpson,Dax Didier"
"Sainz,Santiago Suinaga"
"Leizgold,Sergio Rosengaus"
"Armenta Lopez,Victor Raul"
"Morales Guerrero,Ernesto"
"Melendez Paz,Ricardo"
"Vega Diaz,Marco Antonio"
"Lloveras Macia,Joaquim"
"Lechuga Andrade,Jorge Antonion de la Cruz"
"Flores,Raul Daniel"
"Garcia,Edy Christian Encinas"
"Betancourt Carrizales,Luis Urbano"
"NEGRETE,Maria Patricia Shirley Demare"
"Salgado,Irene Carrillo"
"CONTRERAS,Jose Ignacio Regla"
"Torres Gutierrez,Fernando Octavio"
"McMinn,Gregory Earl"
"Cabanne Lopez,Alma Delia"
"McGranahan,Daniel S"
"Lara,Cesar D"
"Herrera Rojas,Alberto"
"Calderon,Rafael"
"Innes,Roger Dean"
"Dicks,Michael Drew"
"Edstrom,Paul Robert"
"Fernandez,Leopoldo Meneses"
"Flores Garcia,Israel"
"Montiel Perez,Martin Raul"
"Gil Paredes,Victor Manuel"
"Vallarta,Gabriel"
"Mukherjee,Maharaj"
"Duran Jimenez,Oscar"
"Martinez Cordero,Jose Eduardo"
"Guzman Sanchez,Jose Arnoldo"
"Serna Saldivar,Sergio Roman Othon"
"Santos Zea,Liliana"
"Banuelos,Alfredo"
"Rostro,Octavio A"
"Alarcon,Dario"
"Medel,Hector F"
"Marak,Pavel"
"Novotny,Josef"
"Adamik,Petr"
"Gonzalez,Richard"
"Johansson,Jimmy"
"BRICIO ARZUBIDE,Alvaro Fabian"
"Galindo Esquivel,Ignacio Rene"
"Juarez Ruiz,Juan Manuel"
"Regalado Oliva,Orlando"
"Reed,David C"
"Smith,Max D"
"Cortes Saenz,Juan Simon"
"Quinto Tapia,Carlos Armando"
"Martinez Contreras,Jose Juan"
"Villanueva,Efrain Gutierrez"
"Ortiz,Daniel Reynoso"
"Salazar,Vicente Noguez"
"Ramirez,Juan Ignacio Melecio"
"El Eskandarany,Mohamed Sherif Mohamed Mostafa"
"Al Azmi,Ahmed Salem Abdulhadi Aldamier"
"Hernandez,Alfonso"
"Aguilar,Jose Antonio"
"Santinelli Ramos,Mercedes"
"Calderon Nevarez,Pamela Alejandra"
"Soto Cossio,Luis Antonio"
"Hernandez Cuan,Miguel Ivan"
"Noguez Salazar,Vicente"
"Salinas Garcia, I,Eduardo"
"Nakamura Labastida,Edgar Kiyoshi"
"FLORES ROA,Alberto"
"Mousatov,Aleksandr"
"O'Broin,Ultan"
"Aguilar,Antonio"
"Pattison,Laurie"
"Cantu,Andrea"
"Webb,Erika"
"Gonzalez,Evert"
"Lopez,Eduardo"
"Contreras M,Roberto"
"Lopez Reyes,Jose Francisco"
"Campos,Bruno Fornelli"
"Abarca Alejandre,Jesus Aaron"
"Pereyra,Matias"
"Levrino,Alejandro"
"Gordillo Moscoso,Jose Luis"
"Villarreal Guerra,Blanca Lorena"
"Amidon,Gregory Charles"
"Baldwin,David J"
"Beckham,Brandon J"
"Mazur,Jeffrey"
"Knight,Patrick"
"Burns,Tyler"
"Valdez,Marco Antonio Flores"
"Lopez Aguado Alvarez,Jorge Antonio"
"Cano,Sandra"
"Escobar Barrios,Vladimir Alonso"
"Mancera Garcia,Karen Mariana"
"Galvan Mijangos,Cesar Alberto"
"Garcia,Sergio"
"Garcia Arizpe,Ignacio"
"Osooli,Siavash"
"Wetzel,Cynthia"
"Delmotte,Edmundo"
"Rubio,Ramses"
"Hernandez Ramirez,Carlos Alberto"
"Milchtein Peltsverger,Danil"
"Contreras,Jesus"
"Wendel,Dirk"
"Tellez Reyes,Noe"
"Reyes Bautista,Martin"
"Martin,Ian"
"Vega,Sergio"
"Strole,Michael"
"Ortiz,Cesar G"
"Almendarez,Jesus Elios"
"Sanchez Gonzalez,Izcoatl Emanuel"
"Chavez Sanchez,Yessica Fabiola"
"Rodriguez Rodriguez,Mario Alejandro"
"Cordova Boone,Luis"
"Lopez,Salvador"
"Stowell,Thomas Edward"
"Przytulski,James C"
"Sabelhaus,Eric Michael"
"Aviles Sandoval,Raymundo"
"MacQuarrie,Ian A"
"Soto Murrieta,Jorge Luis"
"Alvarez,Angel"
"Florencio,Zoram"
"Monroy,Agustin"
"Di lulio,Dale Selsor"
"Alam,Saad"
"Shadegg,Daniel"
"Pchola,Edward"
"Blancas Garcia,Victor"
"Garcia Gonzalez,Jose Enrique"
"Fare,Stafano"
"Quintanilla Carmona,Hector Manuel"
"Paravicini Bagliani,Emanuele"
"Aekbote,Krish E"
"Abramoski,Edward Joseph"
"Shastry,Sushil"
"Greene,Kevin"
"Frank,Randall R"
"Davis,John P"
"Swan,Stephen Roger"
"Rodriguez Sanchez,Guadalupe"
"Parra Morales,Arturo"
"Zepeda Partida,Trino Armando"
"Alonso Nunez,Gabriel"
"Smolentseva,Elena"
"Fuentes Moyados,Sergio"
"Diaz De Leon Hernandez,Jorge Noe"
"Luengo Herrero,Laura Imelda"
"Perez Rojo,Gerardo Alejandro"
"Sangines Vazquez,Daniel"
"Nunez,Steven Walter"
"Banales Cano,David Eduardo"
"del Puerto Camargo,Raul Emilio"
"Curran,Peter"
"Rodriguez Dominguez,Rafael"
"Chavez Gomez,Benjamin"
"Garcia,Ricardo Sanchez"
"Hu,Zaiqian"
"Cordova,Ian Kobisher"
"Miranda Valencia,Jose Luis"
"Carrillo Rubio,David Homero"
"Tiwari,Awadesh"
"Pandey,Achalesh Kumar"
"Tovar,Isaac Alejandro Martinez"
"Cortes Cervantes,Saulo Da"
"Tyler,James S"
"Cline,Timothy S"
"Lopez Perez,Emilio Carlos"
"Merchand Alvarado,Humberto"
"Aceves Mendoza,Monica Abigail"
"Sanchez Hernandez,Jose Julian"
"Martinez,Alejandro Davila"
"Martinez De La Escalera,Lorenzo Martinez"
"Martinez Villarreal,Luis Alberto"
"Olachea Quinones,Pablo Alfonso"
"Romero,Juan Pablo Geraldo"
"Ng,Alison"
"Gallardo Inzunza,Manuel Humberto"
"Lallement,Bernard Louis"
"Calero,Patrick"
"Rappart,Yvan"
"Tenne,Serge"
"Alvarado,Humberto Merchand"
"Marquez Lopez,Alfonso"
"Credi,Ramon"
"Jimenez,Juan Manuel"
"Segebart,Robert Lee"
"Gasca Salas,Mario Alberto"
"Hernandez Vazquez,Gerardo"
"Lopez Palacios,Eira"
"Saez Espinola,Gabriel"
"Alvarez Gayosso,Carlos Andres"
"Hernandez Olvera,Ciro Alfredo"
"Herrera Astorga,David"
"Gonzalez Sanchez,Gerardo"
"Estrella,Victor Najar"
"Wehle,Andreas"
"Ramos,Hernan Rivera"
"Martinez De La Escalera,Diego Martinez"
"Yang,Yi"
"Degouet,Fabien"
"Patel,Keyur"
"Retana,Alvaro"
"Querol Garcia,Valeria"
"Orellana,Fernando Mar"
"Canudas,Alvaro Sanchez"
"Ratke,Todd"
"Perez Leal,Miguel Angel"
"Quinones,Santiago"
"Chae,Jeungsuck"
"Saucedo,Leonardo"
"Molina,Aldo"
"Marquez,Alfonso"
"Vereecken,Philippe M"
"Labyedh,Nouha"
"Saldivar Ornelas,Enrique Javier"
"Farias Martinez,Manuel"
"Gomez Quinones,Jose Isabel"
"Ruiz Soto,Gabriela Maria"
"Quijano Dominguez,Elena Isabel Victoria"
"Kay,Stephen"
"Barocio,Carlos"
"Aceves Diez,Angel Emilio"
"Alejo Castillo,Maria Lucia"
"Asaff Arancibia,Jorge Selim"
"Herrera Herrera,Ruben"
"Martinez,Jesus Adrian Guerra"
"Diaz,Felipe Torres"
"Rico,Juan Carlos"
"Contreras,Jose Angel"
"Carnish,Brad"
"Jiang,Hongxin"
"Gonzalez de Cossio,Lucia"
"Adams,Marvin Lewis"
"Belcher,Jason"
"Garcia,Juan Villarreal"
"Rodriguez Gomez,Carlos Alfonso"
"Cruz Mendez,David"
"Padilla Rabadan,Ignacio"
"Amezcua Maciel,Ernesto"
"Perez Monsrreal,Jose Rogelio"
"Hayes,Kenneth"
"Tyler,Jim"
"O'Donohue,Garrett Michael"
"Pan,Yan"
"Vu,Christopher"
"Kessler,Daniel A"
"Rodriguez,Yan"
"King,Leslie Charles"
"Bruce,Michael"
"Santos,Jorge"
"Sanchez Rivero,Elmer"
"Lara Magallanes,Juan Antonio"
"Garcia Ortiz,Jesus Hector Gerardo"
"Martinez Arrieta,Kenia Talia"
"Gutierrez Perez,Jairo Martin"
"Marchetti Tiraboschi,Sergio Vladimiro"
"Garcia Trevino,Gilberto"
"Stasny,Cheryl"
"Tsuneoka,Tatsuo"
"Shinoda,Masafumi"
"HIRANO,Fumi"
"Kimura,Minoru"
"Quiroz,Raul I"
"McGrew,Jeffrey L"
"Hiner,Gary A"
"Vas,Timothy A"
"Puente,Jamie A"
"Villanueva,Rodrigo"
"Munoz,Kevin G"
"LOYA ENRIQUEZ,Rene"
"MENDOZA DUARTE,Monica Elvira"
"VEGA RIOS,Alejandro"
"ZARAGOZA CONTRERAS,Erasto Armando"
"LOPEZ MARTINEZ,Erika Ivonne"
"FLORES GALLARDO,Sergio Gabriel"
"BUENO HERRERA,Grecia Andrea"
"Gonzalez,Sergio Joaquin"
"Wei Chen,Ming"
"Valdes Simancas,Francisco Xavier"
"Delgado Carranza,Jose de Jesus"
"Sachdev,Amit"
"Acosta,Ana"
"Munoz,Alejandro"
"Vazquez,Carlos"
"Ramirez,Pablo"
"MARTINEZ,Mauricio"
"Rodriguez Salamanca,Francisco"
"de Santiago Garcia,Arturo"
"Prats Capote,Anais"
"BENCOMO MARTINEZ,Alberto"
"Fernandez Gomez,Isaac"
"Lara Martinez,Reyna"
"Diaz Miranda,Massiel"
"Rivillas Acevedo,Lina Andrea"
"SABLON CARRAZANA,Marquiza"
"Rodriguez Tanty,Chryslaine"
"Islas Andrade,Sergio Agustin"
"Valdes Sosa,Pedro A"
"Dominguez Macouzet,Maria Guadalupe"
"Jimenez Garcia,Luis Felipe"
"Altamirano Bustamante,Myriam Marlene"
"RIVERA MARRERO,Suchitil"
"Moran Andrade,Julio"
"Perez Perera,Rafaela"
"Lopez Barroso,Rosa Maria"
"Vedrenne Gutierrez,Fernand"
"Perera Pintado,Alejandro"
"Quintero Perez,Francisco Javier"
"Ramos Valencia,Ricardo"
"Tamay,Miguel"
"Castro Vargas,Fabian Moises"
"Castro Salinas,Moises"
"Castro Salinas,Cuahutemoc"
"Pereyra,Lili"
"Lawler,Steve"
"Borghese,Joseph B"
"Erle,Lothar"
"Gonzalez Valdes,Armando"
"Garzon Aztatzi,Jazael"
"Monroy Vallejo,Oscar"
"Perez,Ricardo Benavides"
"Alvarez Majmutov,Anton"
"Felix Moreno,Rodrigo"
"Ramos Corzo,Veronica"
"Cedillo Ramirez,Juan Carlos"
"Aguila Hernandez,Jacinto"
"Garcia Flores,Blanca Estela"
"Arambula Cosio,Fernando"
"Velasquez Rodriguez,Gustavo Adolfo Rodrigo"
"Jimenez Cisneros,Blanca Elena"
"Maya Rendon,Catalina"
"Barrios Perez,Jose Antonio"
"Agis,Asaad"
"Rodriguez,Ruben"
"Garay Serrano,Antonio Dario"
"Wlotkowski,Mark"
"Montoya De La Fuente,J Ascencion"
"Rodriguez,Jose"
"Arteaga,Efren"
"Navarro Barraza,Hector Arturo"
"Jauregui,Alejandro"
"Parro,Jenaro"
"Parra,Enrique"
"Koehrmann,Jorge"
"Iinan,Eric Vargas"
"Simon Gonzalez,Jose Ernesto"
"Guisset,Fabrice Hans Francois"
"Castillo,Jesus Guadalupe"
"Hernandez,Ricardo"
"Nieto,Jorge Miranda"
"Luna Marroquin,Nestor"
"Pamanes Bringas,Rodrigo"
"GOMEZ CORDON,Julio"
"Severiano Perez,Orlando"
"Combs,Judith M"
"Li,Xiang"
"Portillo Mercado,Agustin"
"Torres,Jaime V"
"Juarez Corona,Alejandro"
"Garcia Chavez,Ricardo"
"Zamarripa Jimenez,Oscar Alejandro"
"Rivera Duron,Roberto Rafael"
"Bricker,David"
"Fackler,Troy"
"Osorio,Jose del Carmen Jimenez"
"Abaunza,Jonnathan Ricardo Tellez"
"Escamilla,Omar Davila"
"Aguirre,LuisJavier"
"Hernandez Romero,Yanet Micahela"
"Rodriguez Narvaez,Cristina Margarita"
"Bernad Bernad,Maria Josefa"
"Garcia Sanchez,Gustavo A"
"Zambrano,Jorge Jara"
"Miranda,Francisco"
"Villasenor,Irving Jair"
"Romero,Sergio"
"Resendiz,Viviana"
"Lyle,Rockford D"
"Benkabbou,Hicham"
"Martinez Cervantes,Juan Humberto"
"Martinez Fabre,Raul Arroyo"
"Castrezana,Guillermo"
"Crespo,Daniel"
"Pacheco Sanchez,Sergio"
"Casale,Giuliano"
"Dawson,Stephen"
"Kraft,Stephan"
"Cordova Diaz,Rene Ktnwa"
"Mendoza,Paulino"
"Hundley,Michael Travis"
"Cervantes,Marisol Aponte"
"Lochkovic,Gregory A"
"Reinhardt,Sherrh Clint"
"Williams,Karen E"
"Theuerkorn,Thomas"
"Bastida,Edgar"
"De La Cruz,Ricardo"
"Kissel,Robert Wolfgang"
"Gupta,Ram Mohan"
"Carter,Mark O"
"Younger,Steve C"
"Jambusaria,Harshal L"
"Bathula,Bharat Kumar"
"Torres Ramos,Abbner Uriel"
"Esparza Lopez,Jaime"
"Hung,Allen"
"Aik,Ooi Joo"
"Phang,Chan Wai"
"Han,Lin Chun"
"Shen,Soon Yueh"
"Smith,Neal P"
"Jing,Tan Zheng"
"Torroella,Armando Rubio"
"Chuin,Ooi Ping"
"Boo,Chai Eong"
"Garcia,Adrian Ortega"
"Ean,Tung Ean"
"Murugesu,Sivakumar"
"Garcia,Mario Barba"
"Lo,Shing Yung"
"Kolekar,Abhijeet"
"Castellanos,Ivan Gomes"
"Alexis,Alan Previn"
"Valadez,Jose Gerardo Galindo"
"Tan,Soo Phing"
"Ming,Yang Su"
"Larionov,Andrey"
"Tat,Ong Gee"
"Diaz Sanchez,Joel Gerardo"
"Zertuche Zuani,Jose Gerardo"
"Castro Nunez,Hector Alejandro"
"Mejia Pavon,Jose Javier"
"Valencia Aguirre,Gustavo"
"Solis Mondragon,Luis Javier"
"Schultz,Jason E"
"Flores,Daniel"
"Chable Hernandez,Ramiro"
"Hernandez Moreno,Hallin Sinai"
"Morita,Yoshifumi"
"Navarro Rosales,Miguel Angel"
"Cordova Urbiola,Arturo Javier"
"Vila Delgado,Hugo Abraham"
"Vazquez,Liliana Alonso"
"Torres Olvera,Andres"
"Gutierrez Diaz,German"
"Rodriguez Guerrero,Edgar"
"Valdiviezo Mijangos,Oscar Cerapio"
"Guerra Galan,Gabriela"
"Coulibaly,Jean Baptiste"
"Estrada Vargas,Ana Paula"
"Navarro Martinez,Juan Antonio"
"Banuelos Sanchez,Pedro"
"Aguillon Garcia,Jacobo"
"Wong,Heriberto Bujanda"
"Preciado,Heriberto Bujanda"
"Herbert,Charles G"
"HASTINGS,Jonathan"
"Rosen,Gary M"
"Ornelas Reyes,Viviana Guadalupe"
"Rubinstein,Arie Jusidman"
"Hoarau,Eric"
"Ko,Woo Suk"
"Moon,Sang Chul"
"Brandstetter,Josef"
"Rios Hernandez,Armando"
"Alcala Ordaz,Ricardo"
"Torres Fernandez,Yunuen"
"Maldonado,Diego Moreno"
"Garcia,Diego Moreno"
"Mar,Enrique"
"Evans,Ernest O"
"Lopez,Jorge Antonio Alcala"
"Castillo,Mariela Reynoso"
"Duran,Ismael Favela"
"Hernandez,Oscar Rivera"
"Toledo,Humberto Perez"
"Alas,Ricardo Andre Rivas"
"Rangarajan,Thanunathan"
"Khanna,Rahul"
"Hoffbeck,Mark David"
"El Aile,Rachid E"
"Rolinski,Kevin M"
"Monroy,Oscar"
"Fragoso Iniguez,Marcos Ahuizotl"
"Martinez,Juan Jose Jimenez"
"Cruz,Guillermo Armando Martinez"
"Estrada,Jose Francisco"
"Zamora,George G"
"Espejel,Eduardo Trigo"
"Lopez Gonzalez,Monica"
