NOMBRE_INVENTOR
"Chen,Darren"
"Haataja,Timothy Jon"
"Vongseng,Soutsada"
"Thompson,Patrick J"
"Mertesdorf,Daniel Ray"
"Bran de Leon,Oscar Fernando"
"Marcouiller,Thomas"
"Solheid,James J"
"Saucedo,Raul Mario"
"Bolster,Kristofer"
"Holmberg,Matthew"
"Jimenez Hernandez,Alvaro"
"Perez Barrera,Oswaldo"
"Winarski,Daniel J"
"Dickens,Louie A"
"DeRobertis,Christopher V"
"Avila Macias,Miguel Angel"
"Pazan,Herbert Raza"
"Okonkwo,Anderson"
"Calderon,Hector A"
"Robles,Francisco C"
"Contreras,Guillermo"
"Najar,Victor"
"Lopez,Mario"
"Diaz Morales,Adrian"
"Ferreira Orta,Miguel David"
"Zavala,Ricardo"
"Calderon,Rodolfo Omar"
"Moctezuma,Jocelyn"
"Cruz,Claudia"
"Ramos,Erick"
"Mejia Barajas,Federico Emilio"
"Santillan Galvan,Raul"
"Reyes Martinez,Juan Carlos"
"Misra,Avishkar"
"Herena Ulloa,Zazhil Ha"
"Ravada,Siva"
"Gershenson,Meir"
"Martinez Avalos,Bernardo Jose"
"Martinez,Luis Angel"
"Luna,Edgar"
"Lee,Mayte"
"Avila,Cristina"
"Blasi,Laura Maria Pires"
"Hamaoui,Renee"
"Fernandez,Juan"
"Vallejo Galland,Belinda"
"Rodriguez Figueroa,Jose Carlos"
"Gonzalez Cordova,Aaron Fernando"
"Ferreira Yanez,Francisco Javier"
"Ortiz Hernandez,Edgardo Fabricio"
"Caballero De Ita,Carlos Alberto"
"Lopez Gonzalez,Luis Miguel"
"Villalva Sanchez,Pablo Isaac"
"Estrada,Eduardo"
"Lujan,Francisco Javier"
"Galindo,Rodrigo Alonso"
"Burciaga,Fernando"
"Rice,John R"
"Dow,Ian J"
"Melendez Vazquez,Jesus Rakob"
"Jaworski,Les"
"Cooke,Terry L"
"Dean, Jr,David L"
"Martinez,Juan Garcia"
"Gonzalez Covarrubias,Juan Miguel"
"Lopez Sanchez,Manuel Alejandro"
"Juarez,Elmer Mariano"
"Klavuhn,Tory A"
"Milanes,Daniel Valdivia"
"White,Brent Kaan William"
"Stafford,Seth"
"Dwivedi,Vinay"
"Lopez,Fernando Jimenez"
"Linares Rivas,Oswaldo Enrique"
"Ayala Vera,Julio Cesar"
"Delon Canseco,Sergio Antonio"
"Gonzalez Inda,Carlos Paul"
"Lopez Moreno,Luis"
"Lopez Quirarte,Juan Carlos"
"Morrow,Ardythe L"
"Newburg,David S"
"Ruiz Palacios,Guillermo M"
"Aguilera,Cesar"
