Inventor,inventor_id,a
Jesus Villanueva,fl:je_ln:villanueva-5,
Joaquin Sanches Castillo,fl:jo_ln:sanchescastillo-1,
Joel Aldebaran Salazar,fl:jo_ln:salazar-2,
John Corben,fl:jo_ln:corben-1,
Jonathan Kaleb Jalpa,fl:jo_ln:jalpa-1,
Jorge Arturo Ortiz Flores,fl:jo_ln:ortizflores-1,
Jorge Cantu,fl:jo_ln:cantu-4,
Jorge Carlos Tellez Valdes,fl:jo_ln:tellezvaldes-1,
Jorge D. Viesca,fl:jo_ln:viesca-1,
Jorge Del Angel,fl:jo_ln:delangel-1,
Jorge E. Gonzalez Diaz,fl:jo_ln:gonzalezdiaz-1,
Jorge Eugenio Garza Montemayor,fl:jo_ln:garzamontemayor-2,
Jorge González-Canudas,fl:jo_ln:gonzalezcanudas-1,
Jorge Hinojosa,fl:jo_ln:hinojosa-1,
Jorge I. Escamilla Rodriguez,fl:jo_ln:escamillarodriguez-1,
Jorge Jara Zambrano,fl:jo_ln:jarazambrano-1,
Jorge Jara Zambrano,fl:jo_ln:jarazambrano-1,
Jorge Joaquin Canto Ibanez,fl:jo_ln:ibanez-1,
Jorge L. Rosado,fl:jo_ln:rosado-2,
Jorge Lopez-Cuevas,fl:jo_ln:lopezcuevas-1,
Jorge Luis Rosado Loria,fl:jo_ln:loria-1,
Jorge Octavio Villar Kuri,fl:jo_ln:villarkuri-1,
Jorge Rafael Lozada Ramirez,fl:jo_ln:ramirez-19,
Jorge Santisteban,fl:jo_ln:santisteban-1,
Jorge Selim Asaff Arancibia,fl:jo_ln:asaffarancibia-1,
Jorge Silvestre Guerra Meza,fl:jo_ln:guerrameza-1,
Jose Alberto Davila Aleman,fl:jo_ln:davilaaleman-1,
José Ángel Avalos Barcenas,fl:jo_ln:avalosbarcenas-1,
Jose Antonio D. Munoz Moya,fl:jo_ln:munozmoya-1,
Jose Arturo Lona Santoyo,fl:jo_ln:lonasantoyo-1,
Jose De Jesus Camarena Villaseñor,fl:jo_ln:camarenavillasenor-1,
Jose Eduardo Pena Martinez,fl:jo_ln:martinez-9,
Jose Guadalupe GARZA MONTEMAYOR,fl:jo_ln:garzamontemayor-1,
Jose Guerra,fl:jo_ln:guerra-7,
Jose Gustavo Cabrera Aquino,fl:jo_ln:cabreraaquino-1,
Jose J. Galicia,fl:jo_ln:galicia-1,
Jose Jonathan Salazar Loera,fl:jo_ln:salazarloera-1,
Jose L. Sandoval,fl:jo_ln:sandoval-4,
Jose Landa,fl:jo_ln:landa-4,
José Luis Cano Domínguez,fl:jo_ln:canodominguez-1,
Jose Luis Lorente-Adame,fl:jo_ln:lorenteadame-1,
Jose Luis Martinez Carballido,fl:jo_ln:carballido-1,
Jose Luis Morales Martinez,fl:jo_ln:moralesmartinez-1,
Jose Luis Rodolfo Benitez Aguilar,fl:jo_ln:benitezaguilar-1,
Jose Luis Tavares Cortes,fl:jo_ln:tavarescortes-2,
Jose Manuel Guzman Colin,fl:jo_ln:guzmancolin-1,
José Marie Maurice Julien Fripiat,fl:jo_ln:julienfripiat-1,
Jose Martinez Sanchez,fl:jo_ln:sanchez-26,
Jose Medina,fl:jo_ln:medina-12,
José Miguel Lazcano-Seres,fl:jo_ln:lazcanoseres-1,
Jose Octavio SANCHEZ RODRIGUEZ,fl:jo_ln:sanchezrodriguez-2,
José Oscar Mascorro-Gallardo,fl:jo_ln:mascorrogallardo-1,
Jose Rafael Gomez,fl:jo_ln:gomez-8,
Jose Ramon Gachuz Navarro,fl:jo_ln:gachuznavarro-1,
Jose Ramon Garcia Martinez,fl:jo_ln:garciamartinez-3,
José Ramón Martinez Ramírez,fl:jo_ln:martinezramirez-1,
Jose Ramon Molina,fl:jo_ln:molina-11,
Jose Rene Liñan,fl:jo_ln:linan-1,
Jose Ricardo Trolle Lara,fl:jo_ln:trollelara-1,
Jose Roberto Aguilar Ante,fl:jo_ln:aguilarante-1,
Jose Velazquez,fl:jo_ln:velazquez-2,
Jose-Adalberto Terán-Matus,fl:jo_ln:teranmatus-2,
Juan Alberto Juarez Garcia,fl:ju_ln:garcia-17,
Juan Antonio Leon Navarro,fl:ju_ln:leonnavarro-1,
Juan Carlos Catana,fl:ju_ln:catana-1,
Juan Carlos Martinez Laurent,fl:ju_ln:martinezlaurent-1,
Juan Carlos Reyes Martinez,fl:ju_ln:reyesmartinez-1,
Juan Cruz,fl:ju_ln:cruz-4,
Juan Domingo Beckmann Legorreta,fl:ju_ln:beckmannlegorreta-1,
Juan Francisco Garcia Navarro,fl:ju_ln:garcianavarro-2,
Juan Francisco Mojica-Briseño,fl:ju_ln:mojicabriseno-1,
Juan Hernandez,fl:ju_ln:hernandez-11,
Juan Javier Gaytan,fl:ju_ln:gaytan-1,
Juan Jose Rodriguez Salinas,fl:ju_ln:rodriguezsalinas-1,
Juan López De Silanes,fl:ju_ln:lopezdesilanes-1,
Juan Manuel Avila Barriga,fl:ju_ln:barriga-1,
Juan Manuel Cruz Alcaraz,fl:ju_ln:cruzalcaraz-1,
Juan Navarrete Bolanos,fl:ju_ln:navarretebolanos-1,
Juan Pablo Rios Rendon,fl:ju_ln:riosrendon-1,
Juan Ruiz Estrella,fl:ju_ln:ruizestrella-1,
Julio César Rangel Mata,fl:ju_ln:rangelmata-1,
Karen ROETS,fl:ka_ln:roets-1,
Karla Morales,fl:ka_ln:morales-2,
Karla Morena Guajardo Gonzalez,fl:ka_ln:gonzalez-3,
Kevin Marquez Vaca,fl:ke_ln:vaca-1,
Laura Olivia Alemán Vázquez,fl:la_ln:alemanvazquez-1,
Leobardo Campos Macias,fl:le_ln:camposmacias-1,
Leobardo Stephen Lincoln Strange Zenteno,fl:le_ln:zenteno-1,
Leonel A. Barrera,fl:le_ln:barrera-1,
Leticia Flores Santos,fl:le_ln:floressantos-1,
Liliana Alonso Vazquez,fl:li_ln:alonsovazquez-1,
Linda Patricia Osuna Ibarra,fl:li_ln:osunaibarra-1,
Lourival Domingos POSSANI POSTAY,fl:lo_ln:possanipostay-2,
Lucia del Carmen Sanchez Fernandez,fl:lu_ln:sanchezfernandez-2,
Luis A. Arroyo,fl:lu_ln:arroyo-2,
Luis Alberto Durán Hernández,fl:lu_ln:duranhernandez-1,
Luis Angel Garcia Cortes,fl:lu_ln:cortes-1,
Luis Angel Ramirez Ortiz,fl:lu_ln:ortiz-3,
Luis Armando Bravo Castillo,fl:lu_ln:bravocastillo-1,
Luis Becerril,fl:lu_ln:becerril-1,
Luis Camilo Ríos Castañeda,fl:lu_ln:rioscastaneda-1,
Luis E. Canedo,fl:lu_ln:canedo-1,
Luis Estrada Flores,fl:lu_ln:flores-3,
Luis Fernando Loo Zazueta,fl:lu_ln:zazueta-1,
Luis Gonzalez Rodriguez,fl:lu_ln:gonzalezrodriguez-1,
Luis Javier Aguilar,fl:lu_ln:aguilar-3,
Luis Javier Pando Rodriguez,fl:lu_ln:pandorodriguez-1,
Luis Javier RIVERA CRUZ,fl:lu_ln:riveracruz-1,
Luis Joaquín Martínez Layseca,fl:lu_ln:martinezlayseca-1,
Luis Martin,fl:lu_ln:martin-15,
Luis Miguel Franco Caballero,fl:lu_ln:francocaballero-1,
Luis Orlando Castro Cabrera,fl:lu_ln:castrocabrera-1,
Luis Rabasa,fl:lu_ln:rabasa-1,
Luis Salazar-Olivio,fl:lu_ln:salazarolivio-1,
Luis Vazquez,fl:lu_ln:vazquez-3,
Luis Villalobos,fl:lu_ln:villalobos-1,
Manuel Alejandro Vite Cadena,fl:ma_ln:cadena-1,
Manuel Leon,fl:ma_ln:leon-13,
Manuel Oyervides Garcia,fl:ma_ln:garcia-2,
Manuel Sanchez,fl:ma_ln:sanchez-27,
Manuel Vazquez,fl:ma_ln:vazquez-2,
Marcel Montemayor Cavazos,fl:ma_ln:cavazos-1,
