Nombre Buscado,Mejor Coincidencia,Similitud
"RAMIREZ PULIDO,JOSE","RAMIREZ PULIDO, JOSE",97.43589743589743
"MANZANILLA NAIM,LINDA ROSA","MANZANILLA NAIM,LINDA ROSA",100.0
"MEAS VONG,YUNNY","MEAS VONG,YUNNY",100.0
"ROMO JONES,JOSE MANUEL","ROMO JONES,JOSE MANUEL",100.0
"MUNGUIA OROZCO,LUIS","MUNGUIA OROZCO,LUIS",100.0
"GAZQUEZ MATEOS,JOSE LUIS","GAZQUEZ MATEOS,JOSE LUIS",100.0
"ORTIZ ROMERO VARGAS,MARIA ELBA","ORTIZ ROMERO VARGAS,MARIA ELBA",100.0
"CASTILLO CABALLERO,ROLANDO CRISOSTOMO","CASTILLO CABALLERO,ROLANDO CRISOSTOMO",100.0
"GALVAN ESPINOSA,MARCELO ENRIQUE","GALVAN ESPINOSA,MARCELO ENRIQUE",100.0
"SANCHEZ CAMPEROS,EDGAR NELSON","SANCHEZ CAMPEROS,EDGAR NELSON",100.0
"RUIZ BOULLOSA,RICARDO","RUIZ BOULLOSA,RICARDO",100.0
"GUARNEROS PEÑA,GABRIEL","GUARNEROS PEÑA, GABRIEL",97.77777777777777
"PADUA NESRALA,JORGE ANTONIO","PADUA NESRALA,JORGE ANTONIO",100.0
"SOTO EGUIBAR,ENRIQUE","SOTO EGUIBAR,ENRIQUE",100.0
"GOMEZ TREVIÑO,ENRIQUE","GOMEZ TREVIÑO, ENRIQUE",97.67441860465115
"ALBA ANDRADE,FERNANDO","ALBA ANDRADE,FERNANDO",100.0
"VARGAS JARILLO,CRISTOBAL","VARGAS JARILLO,CRISTOBAL",100.0
"HERNANDEZ ARANA,ANDRES","HERNANDEZ ARANA,ANDRES",100.0
"PARDO CEMO,ANNIE","PARDO CEMO,ANNIE",100.0
"LASTRA Y VILLAR Y GARCIA GOMEZ,CLEMENTINA MERCED","LASTRA Y VILLAR Y GARCIA GOMEZ,CLEMENTINA MERCED",100.0
"MONZON GARCIA,MARIA CRISTINA","MONZON GARCIA,MARIA CRISTINA",100.0
"ROSALES HOZ,MARIA TOMASA LETICIA","ROSALES HOZ,MARIA TOMASA LETICIA",100.0
"ROSALES HOZ,MARIA DEL JESUS DEL SAGRADO CO","ROSALES HOZ,MARIA DEL JESUS DEL SAGRADO CO",100.0
"PASANTES ORDOÑEZ,HERMINIA","PASANTES ORDOÑEZ, HERMINIA",98.0392156862745
"PEREZ DE LA MORA,MIGUEL ANGEL","PEREZ DE LA MORA,MIGUEL ANGEL",100.0
"GUTIERREZ CORONA,J. FELIX","GUTIERREZ CORONA,J. FELIX",100.0
"POSSANI POSTAY,LOURIVAL DOMINGOS","POSSANI POSTAY,LOURIVAL DOMINGOS",100.0
"NEGRON MENDOZA,ALICIA","NEGRON MENDOZA,ALICIA",100.0
"GARCIA ALDRETE,ALFONSO NERI","GARCIA ALDRETE,ALFONSO NERI",100.0
"GNECCO MEDINA,DINO HERNAN","GNECCO MEDINA,DINO HERNAN",100.0
"VAZQUEZ NIN,GERARDO HEBERT","VAZQUEZ NIN,GERARDO HEBERT",100.0
"MOLINA TORRES,JORGE","MOLINA TORRES,JORGE",100.0
"LARA ROSANO,FELIPE DE JESUS","LARA ROSANO,FELIPE DE JESUS",100.0
"MARTINEZ,ROBERTO","MARTINEZ , ROBERTO",94.11764705882352
"ULLOA SOSA,MIGUEL ARMANDO","ULLOA SOSA,MIGUEL ARMANDO",100.0
"ECHEVERRIA MARTINEZ,OLGA MARGARITA","ECHEVERRIA MARTINEZ,OLGA MARGARITA",100.0
"RECILLAS PISHMISH,ELSA","RECILLAS PISHMISH, ELSA",97.77777777777777
"CARRASCO BAZUA,LUIS","CARRASCO BAZUA,LUIS",100.0
"MENDIETA JIMENEZ,FRANCISCO JAVIER","MENDIETA JIMENEZ,FRANCISCO JAVIER",100.0
"MIRANDA COLIN,SALVADOR","MIRANDA COLIN,SALVADOR",100.0
"CERBON SOLORZANO,JORGE","CERBON SOLORZANO,JORGE",100.0
"DULTZIN KESSLER,DEBORA","DULTZIN KESSLER,DEBORA",100.0
