NOMBRE_INVENTOR,NOMBRE DEL INVESTIGADOR,Ratio,inventor_id,CVU
"VALENZUELA,RICARDO","VALENZUELA GARZA,RICARDO",88.0,,312817.0
"VILLANUEVA,RODRIGO","VILLANUEVA PONCE,RODRIGO",88.0,,322167.0
"VILLARREAL,SALVADOR","VILLARREAL REYES,SALVADOR",88.0,,40774.0
"ARREDONDO HERNANDEZ,LUIS JOSE","ARREDONDO HERNANDEZ,LUIS JOSE RENE",89.0,,175445.0
"FERNANDEZ,JUAN","FERNANDEZ RUIZ,JUAN",89.0,,11362.0
"GARCIA SANCHEZ,GUSTAVO A","GARCIA SANCHEZ,GUSTAVO ADOLFO",89.0,,
"GUTIERREZ,MANUEL","GUTIERREZ NAVA,MANUEL",89.0,fl:ma_ln:gutierrez-17,30209.0
"HERNANDEZ,CESAR","HERNANDEZ CRUZ,CESAR",89.0,,205674.0
"HERNANDEZ,JOSE LUIS","HERNANDEZ CRUZ,JOSE LUIS",89.0,,253976.0
"RODRIGUEZ,ANDRES","RODRIGUEZ RIOS,ANDRES",89.0,,79581.0
"RODRIGUEZ,CESAR","RODRIGUEZ BEAS,CESAR",89.0,fl:ce_ln:rodriguezcedillo-1,48236.0
"RODRIGUEZ,CHRISTIAN","RODRIGUEZ RUIZ,CHRISTIAN",89.0,,450485.0
"HERNANDEZ,AARON","HERNANDEZ CID,AARON",89.0,,310858.0
"MORONES RAMIREZ,J RUBEN","MORONES RAMIREZ,JOSE RUBEN",89.0,,46146.0
"MONTOYA DE LA FUENTE,J ASCENSION","MONTOYA DE LA FUENTE,J ASCENCION",89.0,,
"VELAZQUEZ SALAZAR,J JESUS","VELAZQUEZ SALAZAR,J JESUS",89.0,,
"MENDOZA DE LA CRUZ,JOSELUIS","MENDOZA DE LA CRUZ,JOSE LUIS",89.0,,278086.0
"AVILA,RAUL","AVILA ORTIZ,RAUL",81.0,,211967.0
"BRAVO,ALEJANDRA","BRAVO PONCE,ALEJANDRA",81.0,,782229.0
"GAMBA,GERARDO","GAMBA AYALA,GERARDO",81.0,,11340.0
"LOPEZ,ANGEL","LOPEZ GOMEZ,ANGEL",81.0,,31295.0
"LOPEZ,ANTONIO","LOPEZ REYES,ANTONIO",81.0,,311000.0
"LOPEZ,EDUARDO","LOPEZ LOPEZ,EDUARDO",81.0,,43911.0
"LOPEZ,HECTOR","LOPEZ LOERA,HECTOR",81.0,,25771.0
"LOPEZ,MARIO","LOPEZ GOMEZ,MARIO",81.0,fl:ma_ln:ruiz-23,123514.0
"LOPEZ,RODOLFO","LOPEZ GOMEZ,RODOLFO",81.0,,10512.0
"MARINI,JESUS","MARIN CRUZ,JESUS",81.0,fl:je_ln:mariniparissi-1,37228.0
"NUNEZ,EDUARDO","NUNEZ ROJAS,EDUARDO",81.0,,424109.0
"PEREZ,HECTOR","PEREZ GUIDO,HECTOR",81.0,,268359.0
"REYES,JOSE","REYES GASGA,JOSE",81.0,,4317.0
"SORIA,FRANCISCO JAVIER","SORIA LOPEZ,FRANCISCO JAVIER",82.0,,123392.0
"CARDENAS,EDUARDO","CARDENAS CARDENAS,EDUARDO",82.0,,519453.0
"ESQUIVEL,JUAN MANUEL","ESQUIVEL MARTINEZ,JUAN MANUEL",82.0,,266229.0
"GONZALEZ,AARON","GONZALEZ PALACIOS,AARON",82.0,,511255.0
"CASTELLANOS,SERGIO","CASTELLANOS RODRIGUEZ,SERGIO",85.0,,863337.0
"AGUILAR,ANTONIO","AGUILAR LOPEZ,ANTONIO",85.0,fl:jo_ln:aguilarmendez-1,94440.0
"AGUILAR,OMAR","AGUILAR MEJIA,OMAR",85.0,fl:om_ln:aguilarmacedo-1,98156.0
"ALVAREZ,JOSE","ALVAREZ PEREZ,JOSE",85.0,,849785.0
"HERRERA,ALBERTO","HERRERA GOMEZ,ALBERTO",85.0,,15110.0
"JALBOUT,ABRAHAM FOUAD","JALBOUT TAPIA,ABRAHAM FOUAD",85.0,,213512.0
"MENDOZA,JESUS","MENDEZ LOZANO,JESUS",85.0,,26211.0
"MENDOZA,RODOLFO","MENDOZA GOMEZ,RODOLFO",85.0,,378771.0
"MIRANDA,FRANCISCO","MIRANDA LOPEZ,FRANCISCO",85.0,,25493.0
"MURILLO,DANIEL","MURILLO LICEA,DANIEL",85.0,fl:da_ln:murillo-2,122955.0
"SANCHEZ,ANTONIO","SANCHEZ SOLIS,ANTONIO",85.0,,6033.0
"SANCHEZ,FRANCISCO","SANCHEZ OCHOA,FRANCISCO",85.0,,376578.0
"SANCHEZ,JOSE GUADALUPE","SANCHEZ LOPEZ,JOSE GUADALUPE",85.0,fl:jo_ln:sanchezdelarosa-2,952294.0
"SANCHEZ,SALVADOR","SANCHEZ COLON,SALVADOR",85.0,,6603.0
"VAZQUEZ,ALEJANDRO","VAZQUEZ DIMAS,ALEJANDRO",85.0,,204997.0
"VAZQUEZ,JOSE","VAZQUEZ PRADO,JOSE",86.0,,15002.0
"CONTRERAS,ANTONIO","CONTRERAS CUEVAS,ANTONIO",86.0,,26262.0
"CONTRERAS,ROBERTO","CONTRERAS JUAREZ,ROBERTO",86.0,fl:ro_ln:contreras-7,80228.0
"GUTIERREZ,ARTURO","GUTIERREZ LOZANO,ARTURO",86.0,,296891.0
"GUTIERREZ,JORGE","GUTIERREZ CUEVAS,JORGE",86.0,,166988.0
"GUTIERREZ,RAUL","GUTIERREZ SUAREZ,RAUL",86.0,,93140.0
"GUTIERREZ,ROBERTO","GUTIERREZ DORADO,ROBERTO",86.0,,96384.0
"HERNANDEZ,CARLOS","HERNANDEZ SANTOS,CARLOS",86.0,,180152.0
"RODRIGUEZ,ANGEL","RODRIGUEZ MORENO,ANGEL",86.0,,37766.0
"RODRIGUEZ,DIANA","RODRIGUEZ MENDEZ,DIANA",86.0,,176842.0
"RODRIGUEZ,HECTOR","RODRIGUEZ RANGEL,HECTOR",86.0,,219230.0
"VELAZQUEZ,JOSE","VELAZQUEZ VARELA,JOSE",86.0,,162235.0
"CERVANTES,FRANCISCO","CERVANTES ORTIZ,FRANCISCO",86.0,,44714.0
"CERVANTES,JUAN","CERVANTES PEREZ,JUAN",86.0,,15976.0
"HERNANDEZ,ALFONSO","HERNANDEZ GARAY,ALFONSO",88.0,,9309.0
"HERNANDEZ,ALFREDO","HERNANDEZ PEREZ,ALFREDO",88.0,,552802.0
"HERNANDEZ,GUSTAVO","HERNANDEZ VIDAL,GUSTAVO",88.0,,20583.0
"HERNANDEZ,HECTOR","HERNANDEZ LOPEZ,HECTOR",88.0,fl:he_ln:hernandezhernandez-1,40117.0
"HERNANDEZ,MIGUEL ANGEL","HERNANDEZ ONATE,MIGUEL ANGEL",88.0,,166850.0
"HERNANDEZ,NESTOR","HERNANDEZ GREEN,NESTOR",88.0,,376228.0
"HERNANDEZ,RICARDO","HERNANDEZ AVILA,RICARDO",88.0,fl:ri_ln:hernandez-6,30819.0
"KUPPUSAMY,ILANGOVAN","KUPPUSAMY AMMAL,ILANGOVAN",88.0,,10728.0
"RODRIGUEZ,GUSTAVO","RODRIGUEZ GOMEZ,GUSTAVO",88.0,fl:gu_ln:rodriguez-6,202891.0
"ZAVALA,RICARDO","ZAVALA YOE,RICARDO",88.0,,35196.0
"CEVALLOS,ANA MARIA","CEVALLOS GAOS,ANA MARIA",88.0,,21195.0
"GONZALEZ,ARTURO","GONZALEZ ISLA,ARTURO",88.0,,514592.0
"GONZALEZ,ENRIQUE","GONZALEZ SOSA,ENRIQUE",88.0,fl:al_ln:gonzalez-20,21636.0
"GONZALEZ,OSCAR","GONZALEZ RIOS,OSCAR",88.0,,37926.0
"GRAEVE,OLIVIA A","GRAEVE,OLIVIA AMALIA",88.0,,450195.0
