NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,ES_MISMA_PERSONA,DETALLES,UBICACION_DATAF,UBICACION_INVENTOR,AÑO_PATENTE,PERIODOS_VALIDOS
"AMEZAGA MADRID,PATRICIA","AMEZAGA MADRID,PATRICIA",100,True,Fecha [patente 2020] válida en: 2018-2021,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2020,2018-2021
"AMEZCUA ALLIERI,MYRIAM ADELA","AMEZCUA ALLIERI,MYRIAM ADELA",100,True,Fecha [patente 2020] válida en: 2020-2022,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2020,2020-2022
"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",100,True,Fecha [patente 2018] válida en: 2014-2018,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2014-2018
"ANGELES ALVAREZ,PEDRO GUILLERMO","ANGELES ALVAREZ,PEDRO GUILLERMO",100,True,Fecha [patente 2016] válida en: 2016-2019,"VERACRUZ DE IGNACIO DE LA LLAVE,MEXICO","VERACRUZ,MX",2016,2016-2019
"ANGELES CHAVEZ,CARLOS","ANGELES CHAVEZ,CARLOS",100,True,Fecha [patente 2021] válida en: 2018-2022,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2021,2018-2022
"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",100,True,Fecha [patente 2016] válida en: 2014-2016,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2016,2014-2016
"ARAMBULA COSIO,FERNANDO","ARAMBULA COSIO,FERNANDO",100,True,Fecha [patente 2017] válida en: 2015-2017,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2017,2015-2017
"ARMENDARIZ BORUNDA,JUAN SOCORRO","ARMENDARIZ BORUNDA,JUAN SOCORRO",100,True,Fecha [patente 2019] válida en: 2019-2028,"JALISCO,MEXICO","MEXICO CITY,MX",2019,2019-2028
"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",100,True,Fecha [patente 2018] válida en: 2017-2021,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2017-2021
"ASCANIO GASCA,GABRIEL","ASCANIO GASCA,GABRIEL",100,True,Fecha [patente 2014] válida en: 2014-2017,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2014,2014-2017
