NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"CORTES ESPINOSA,DIANA VERONICA","CORTES ESPINOSA,DIANA VERONICA",100
"CORTES JACOME,MARIA ANTONIA","CORTES JACOME,MARIA ANTONIA",100
"CORTES RAMIREZ,JORGE ARMANDO","CORTES RAMIREZ,JORGE ARMANDO",100
"CORTES CUEVAS,ARTURO","CORTES,ARTURO",8.157.894.736.842.100
"CORVERA POIRE,EUGENIA","CORVERA POIRE,EUGENIA",100
"CRUZ BARBA,LUIS EMILIO","CRUZ BARBA,LUIS EMILIO",100
"CRUZ CRUZ,GUILLERMO JESUS","CRUZ CRUZ,GUILLERMO JESUS",100
"CRUZ MORALES,PABLO","CRUZ MORALES,PABLO",100
"CRUZ VEGA,ISRAEL","CRUZ,ISRAEL",8.076.923.076.923.070
"CRUZ NOVA,PEDRO","CRUZ,PEDRO",8.076.923.076.923.070
"CUEVAS PACHECO ,GREGORIO","CUEVAS PACHECO,GREGORIO",100
"CUEVAS MORENO,RICARDO","CUEVAS,RICARDO",8.157.894.736.842.100
"DAVILA JIMENEZ,MARTIN MARINO","DAVILA JIMENEZ,MARTIN MARINO",100
"DAVILA VAZQUEZ,GUSTAVO","DAVILA VAZQUEZ,GUSTAVO",100
"DE LA CRUZ CORDERO,RICARDO ABRAHAM","DE LA CRUZ CORDERO,RICARDO ABRAHAM",100
"DE LA ROSA SANTAMARIA,ROBERTO","DE LA ROSA SANTAMARIA,ROBERTO",100
"DE LANGE,DIRK FREDERIK","DE LANGE,DIRK FREDERIK",100
"DEMMLER,MICHAEL","DEIMEN,MICHAEL L",7.451.923.076.923.070
"DEL ANGEL VICENTE,PAZ","DEL ANGEL VICENTE,PAZ",100
"DEL RIO GARCIA,JUAN CARLOS","DEL RIO,JUAN CARLOS",8.333.333.333.333.330
"DELGADO COELLO,BLANCA ALICIA","DELGADO COELLO,BLANCA ALICIA",100
"DIAZ DE LA GARZA,ROCIO ISABEL","DIAZ DE LA GARZA,ROCIO ISABEL",100
"DIAZ DE LEON GOMEZ,RAMON ENRIQUE","DIAZ DE LEON GOMEZ,RAMON ENRIQUE",100
