Nombre Inventor
"Alonso Galindo,Rodrigo"
"Flores Maldonado,Rodrigo"
"Lobeira Massu,Rodrigo"
"Gutierrez Valdes,Rogelio Fernando"
"Hernandez Suarez,Rogelio"
"Reyes Avila,Romeo Jesus"
"Segura Ruiz,Romualdo"
"Gutierrez Aguilar,Rosa N"
"Triana Zorsano,Rubi Elizabeth"
"Iturbide Jimenez,Salvador"
"Valtierra Gallardo,Salvador"
"Kumar Maity,Samir"
"Trevino Garza,Sara"
"Escobar,Saul"
"Cortes Cervantes,Saulo David"
"Rosas Contreras,Sebastian"
"Acosta,Sergio"
"Delon Canseco,Sergio Antonio"
"Cardoza,Sergio"
"Gonzalez Flores,Sergio Joaquin"
"Moctezuma Espiricueto,Sergio"
"Moreno Linan,Sergio"
"Ramirez Amador,Sergio"
"Sanchez Garcia,Sergio"
"Serna Saldivar,Sergio"
"Miridonov,Serguei"
"C Mendoza,Soraya"
"Mierswa,Sven"
"Iyer,Swaminathan"
"A Camacho Villegas,Tanya"
"Sanzone,Tara"
"Martinez,Teodoro"
"Antillon,Teresa"
"Roldan Carrillo,Teresa Guadalupe"
"G Perez,Tito"
"Williams,Trevor"
"Silva Rodriguez,Tzitzijani del Carmen"
"Perez Hinojosa,Ulises Eladio"
"Torres Davalos,Uriel"
"Kontorovich Mazover,Valeri"
"V Spirin,Vasilii"
"Elizabeth Vela,Veronica"
"Garibay Febles,Vicente"
"Gonzalez Tellez,Victor Alfonso"
"Lopez Villamar,Victor Antonio"
"Castro,Victor"
"Cisneros,Victor"
"Espinosa Gutierrez,Victor Daniel"
"Gomez,Victor"
"Gonzalez,Victor"
"Salinas Fox,Victor Hugo"
"Ilizaliturri,Victor"
"Manuel Viesca,Victor"
"Negrete Cortes,Victor"
"Pagaza Melero,Victor"
"Perez Moreno,Victor"
"Garcia Hernandez,Vladimir"
"Garcia Saavedra,Vladimir"
"Mendez,Wesley"
"Marquez Rios,Wilfredo"
"L Booth,William"
"Rodriguez Juarez,Zenon"
"Aguirre,Adrian"
"Montalvo Urbano,Adriana"
"Monroy,Agustin"
"Harvey,Alan"
"Sampson,Alan"
"Osio Sancho,Alberto"
"Del Rio,Alejandro Becker"
"Esquivel de la Garza,Alejandro Claudio"
"Gomez,Alejandro"
"Gomez Caudillo,Alejandro"
"Guzman,Alejandro"
"Perez,Alejandro"
"Aguilar Elguezabal,Alfredo"
"Cuevas Vega,Alfredo"
"Mendoza Aguilar,America Elizabeth"
"Sachdev,Amit"
"Katia Silva,Ana"
"Silva Jimenez,Ana Katia"
"Guzman Leguel,Anthony Kyung"
"Alvarez De La Cadena,Antonio"
"Domit,Antonio"
"Lugo Trejo,Antonio"
"Gomez Martinez,Ariel Esaul"
"Santamaria,Ariel"
"Garcia Luna,Armando"
"Josue Aguilar,Artemio"
"ZUNIGA,Arturo"
"Duenas,Benjamin"
"Gary Brenning,Benjamin"
"Velazquez Navarro,Bernardo"
"M Janitzki,Bernhard"
"Medellin Rivera,Blanca Lucia"
"Fridman Mintz,Boris"
"A Ordonez,Carlos"
"Castro Maciel,Carlos Baltazar"
"F Becerra,Carlos"
"Felix Frias,Carlos Humberto"
"Mendoza,Carlos"
"Munoz Carrillo,Carlos"
"Ochoa,Carlos"
"Tenorio Gutierrez,Carlos"
"Vargas,Carlos"
"Vega Velazquez,Carlos"
"Hernandez Brenes,Carmen"
"Duran Valencia,Cecilia de los Angeles"
"Espinoza Diaz,Cecilia"
"Garcia,Ceferino"
"Aguilera,Cesar"
"de los Santos Campos,Cesar Alejandro"
"G Ortiz,Cesar"
"Padilla,Cesar"
"Rodriguez Cedillo,Cesar"
"Isidro Olan,Concepcion"
"Heredia Saucedo,Daniel Felipe"
"Murillo,Daniel"
"Manuel Hernandez,Dante"
"Bueno Nunez,David"
"Mercado,David"
"Reyes Lopez,David"
