Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Jose de Jesus Jimenez Gonzalez,"Jimenez Gonzalez,Jose de Jesus",2,,,,,,"Guadalajara, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Addis Armenta Lopez,"Armenta Lopez,Addis",2,,,,,,"Coyula, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Jesus Gabriel Trillo Vargas,"Trillo Vargas,Jesus Gabriel",7,,,,,,"Guadalajara, MX",2019-2023,2019,2023,,,,,,,,,,,,,,,,,,,
David Franco Lopez Rubio,"Lopez Rubio,David Franco",6,,,,,,"Lerma, MX",2020-2021,2020,2021,,,,,,,,,,,,,,,,,,,
Hedy H Morales Bolanos,"Morales Bolanos,Hedy H",4,,,,,,"Naucalpan, MX",2020-2021,2020,2021,,,,,,,,,,,,,,,,,,,
Oswaldo Perez Barrera,"Perez Barrera,Oswaldo",22,,,,,,"Texcoco, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Rodrigo Frieventh Cienfuegos,"Frieventh Cienfuegos,Rodrigo",4,,,,,,"Toluca, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Julian Lopez Portillo,"Lopez Portillo,Julian",4,,,,,,"Mexico City, MX",2020-2023,2020,2023,,,,,,,,,,,,,,,,,,,
Ittai Kan,"Kan,Ittai",42,,,,,,"McLean, US",2013-2024,2013,2024,,,,,,,,,,,,,,,,,,,
Karl Garbacik,"Garbacik,Karl",4,,,,,,"Arlington, US",2020-2023,2020,2023,,,,,,,,,,,,,,,,,,,
Caroline O'Brien,"O'Brien,Caroline",4,,,,,,"Sydney, AU",2020-2023,2020,2023,,,,,,,,,,,,,,,,,,,
Sergio Acosta,"Acosta,Sergio",3,,,,,,"Zapopan, MX",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Victor Medina,"Medina,Victor",8,,,,,,"Tlaquepaque, MX",1991-2023,1991,2023,,,,,,,,,,,,,,,,,,,
Reginald Hansbrough,"Hansbrough,Reginald",5,,,,,,"Prosper, US",2019-2023,2019,2023,,,,,,,,,,,,,,,,,,,
Lakshmi Dontamsetti,"Dontamsetti,Lakshmi",3,,,,,,"Fremont, US",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Sergio Miguel Valenzuela,"Valenzuela,Sergio Miguel",1,,,,,,"San Nicolás de los Garza, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Austin J Jones,"Jones,Austin J",19,,,,,,"Ottumwa, US",2012-2023,2012,2023,,,,,,,,,,,,,,,,,,,
Clara Leticia SANTOS CUEVAS,"SANTOS CUEVAS,Clara Leticia",2,,,,,,"Estado de México, MX",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Blanca Eli OCAMPO GARCIA,"OCAMPO GARCIA,Blanca Eli",2,,,,,,"Estado de México, MX",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Erika Patricia AZORIN VEGA,"AZORIN VEGA,Erika Patricia",2,,,,,,"Estado de México, MX",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Myrna Alejandra LUNA GUTIERREZ,"LUNA GUTIERREZ,Myrna Alejandra",2,,,,,,"Estado de México, MX",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Nallely Patricia JIMENEZ MANCILLA,"JIMENEZ MANCILLA,Nallely Patricia",2,,,,,,"Estado de México, MX",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Guillermina FERRO FLORES,"FERRO FLORES,Guillermina",2,,,,,,"Estado de México, MX",2021-2023,2021,2023,,,,,,,,,,,,,,,,,,,
Jose Antonio Maldonado Barragan,"Maldonado Barragan,Jose Antonio",1,,,,,,"Sonora, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Sandra Walker,"Walker,Sandra",1,,,,,,"Wilton, US",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Mark Allen,"Allen,Mark",3,,,,,,"Menlo Park, US",1979-2021,1979,2021,,,,,,,,,,,,,,,,,,,
Joan Leal JELDREZ,"JELDREZ,Joan Leal",1,,,,,,"Palo Alto, US",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Neal ARONSON,"ARONSON,Neal",1,,,,,,"Palo Alto, US",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Jose Alberto Garcia GUERRERO,"GUERRERO,Jose Alberto Garcia",1,,,,,,"Mexicali, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Roberto De la Rosa Santamaria,"De la Rosa Santamaria,Roberto",4,,,,,,"Cárdenas, MX",2016-2021,2016,2021,,,,,,,,,,,,,,,,,,,
Sally Ann Mackenzie,"Mackenzie,Sally Ann",9,,,,,,"State College, US",2007-2021,2007,2021,,,,,,,,,,,,,,,,,,,
Oscar Omar Estrada,"Estrada,Oscar Omar",4,,,,,,"Durango, MX",2019-2022,2019,2022,,,,,,,,,,,,,,,,,,,
Eduardo Estrada,"Estrada,Eduardo",14,,,,,,"Durango, MX",2012-2023,2012,2023,,,,,,,,,,,,,,,,,,,
Hector Sanchez,"Sanchez,Hector",8,,,,,,"Durango, MX",2015-2023,2015,2023,,,,,,,,,,,,,,,,,,,
Carlos Tostado,"Tostado,Carlos",12,,,,,,"Durango, MX",2015-2023,2015,2023,,,,,,,,,,,,,,,,,,,
Rodrigo Alonso Galindo,"Galindo,Rodrigo Alonso",3,,,,,,"Durango, MX",2016-2021,2016,2021,,,,,,,,,,,,,,,,,,,
Khurram Waheed,"Waheed,Khurram",60,,,,,,"Austin, US",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Carlos Alberto Neri Castellanos,"Neri Castellanos,Carlos Alberto",2,,,,,,"Zapopan, MX",2020-2021,2020,2021,,,,,,,,,,,,,,,,,,,
Girish Sharma,"Sharma,Girish",8,,,,,,"Pennington, US",2021-2024,2021,2024,,,,,,,,,,,,,,,,,,,
Alberto Cira,"Cira,Alberto",2,,,,,,"Tlaquepaque, MX",2021-2022,2021,2022,,,,,,,,,,,,,,,,,,,
Luis Eduardo Solano Siller,"Solano Siller,Luis Eduardo",1,,,,,,"Saltillo, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Luis Daniel Berino Avalos,"Berino Avalos,Luis Daniel",1,,,,,,"Saltillo, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Victor M Retana,"Retana,Victor M",1,,,,,,"Saltillo, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
"Robert B Snader, Jr","Snader, Jr,Robert B",3,,,,,,"Solon, US",2015-2021,2015,2021,,,,,,,,,,,,,,,,,,,
Alejandro Gomez Caudillo,"Gomez Caudillo,Alejandro",4,,,,,,"San Pedro el Saucito, MX",2020-2022,2020,2022,,,,,,,,,,,,,,,,,,,
Marshall S White,"White,Marshall S",4,,,,,,"Blacksburg, US",1987-2021,1987,2021,,,,,,,,,,,,,,,,,,,
Jose Ricardo Pena Zapata,"Pena Zapata,Jose Ricardo",6,,,,,,"Santiago Tuxtla, MX",2019-2022,2019,2022,,,,,,,,,,,,,,,,,,,
Juan Pedro Baca Sanchez,"Baca Sanchez,Juan Pedro",6,,,,,,"San Pedro el Saucito, MX",2019-2022,2019,2022,,,,,,,,,,,,,,,,,,,
Alfonso Dominguez Guevara,"Dominguez Guevara,Alfonso",1,,,,,,"Zapopan, MX",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Eugenio Zendejas Martinez,"Zendejas Martinez,Eugenio",9,,,,,,"Monterrey, MX",1986-2021,1986,2021,,,,,,,,,,,,,,,,,,,
Mohamad S El Zein,"El Zein,Mohamad S",18,,,,,,"Bettendorf, US",1995-2022,1995,2022,,,,,,,,,,,,,,,,,,,
Hector Portillo,"Portillo,Hector",11,,,,,,"Monterrey, MX",2019-2022,2019,2022,,,,,,,,,,,,,,,,,,,
Jesse J Kueter,"Kueter,Jesse J",1,,,,,,"Bellevue, US",2021-2021,2021,2021,,,,,,,,,,,,,,,,,,,
Sankaran Subramaniam,"Subramaniam,Sankaran",15,,,,,,"Bettendorf, US",2000-2022,2000,2022,,,,,,,,,,,,,,,,,,,
Scott S Hendron,"Hendron,Scott S",32,,,,,,"Dubuque, US",1992-2023,1992,2023,,,,,,,,,,,,,,,,,,,
Jamie Coates,"Coates,Jamie",2,,,,,,"Asbury, US",2010-2021,2010,2021,,,,,,,,,,,,,,,,,,,
